,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"710,021","60,510","37,158"
1,Spain,"190,839","74,797","20,002"
2,Italy,"172,434","42,727","22,745"
3,France,"147,969","34,420","18,681"
4,Germany,"141,397","83,114","4,352"
5,UK,"108,692",135,"14,576"
6,China,"82,719","77,029","4,632"
7,Iran,"79,494","54,064","4,958"
8,Turkey,"78,546","8,631","1,769"
9,Belgium,"36,138","7,961","5,163"
10,Brazil,"34,221","14,026","2,171"
11,Russia,"32,008","2,590",273
12,Canada,"31,927","10,543","1,310"
13,Netherlands,"30,449",250,"3,459"
14,Switzerland,"27,078","16,400","1,327"
15,Portugal,"19,022",519,657
16,Austria,"14,595","9,704",431
17,India,"14,352","2,041",486
18,Ireland,"13,980",77,530
19,Peru,"13,489","6,541",300
20,Sweden,"13,216",550,"1,400"
21,Israel,"12,982","3,126",151
22,SKorea,"10,653","7,937",232
23,Japan,"9,787",935,190
24,Chile,"9,252","3,621",116
25,Ecuador,"8,450",838,421
26,Poland,"8,379",866,332
27,Romania,"8,067","1,508",411
28,SaudiArabia,"7,142","1,049",87
29,Denmark,"7,073","3,389",336
30,Pakistan,"7,025","1,765",135
31,Norway,"6,937",32,161
32,Mexico,"6,875","2,125",546
33,Australia,"6,560","4,132",67
34,Czechia,"6,549","1,174",173
35,UAE,"6,302","1,188",37
36,Indonesia,"5,923",607,520
37,Philippines,"5,878",487,387
38,Serbia,"5,690",534,110
39,Malaysia,"5,251","2,967",86
40,Singapore,"5,050",708,11
41,Belarus,"4,779",342,42
42,Qatar,"4,663",464,7
43,Ukraine,"4,662",246,125
44,Panama,"4,210",122,116
45,DominicanRepublic,"4,126",268,200
46,Finland,"3,489","1,700",82
47,Luxembourg,"3,480",579,72
48,Colombia,"3,439",634,153
49,Egypt,"2,844",646,205
50,SouthAfrica,"2,783",903,50
51,Argentina,"2,758",666,129
52,Thailand,"2,700","1,689",47
53,Morocco,"2,564",281,135
54,Algeria,"2,418",846,364
55,Moldova,"2,264",276,56
56,Greece,"2,224",269,108
57,Bangladesh,"1,838",58,75
58,Croatia,"1,814",600,36
59,Hungary,"1,763",207,156
60,Iceland,"1,754","1,224",9
61,Bahrain,"1,740",725,7
62,Kuwait,"1,658",258,5
63,Kazakhstan,"1,546",347,17
64,Iraq,"1,482",906,81
65,Estonia,"1,459",145,38
66,NewZealand,"1,422",867,11
67,Uzbekistan,"1,405",156,4
68,Azerbaijan,"1,340",528,15
69,Slovenia,"1,304",174,66
70,BosniaandHerzegovina,"1,214",320,46
71,Armenia,"1,201",402,19
72,Lithuania,"1,149",210,33
73,NorthMacedonia,"1,117",139,49
74,Oman,"1,069",176,6
75,Slovakia,"1,049",175,9
76,HongKong,"1,022",533,4
77,Cameroon,"1,017",177,22
78,Cuba,923,192,31
79,Afghanistan,906,99,30
80,Tunisia,864,43,37
81,Bulgaria,846,141,41
82,Cyprus,750,77,12
83,Djibouti,732,76,2
84,,712,644,13
85,Andorra,696,191,35
86,IvoryCoast,688,193,6
87,Latvia,682,88,5
88,Lebanon,668,94,21
89,CostaRica,649,88,4
90,Ghana,641,83,8
91,Niger,627,110,18
92,BurkinaFaso,557,294,35
93,Albania,539,283,26
94,Uruguay,508,294,9
95,Nigeria,493,159,17
96,Bolivia,493,31,31
97,Kyrgyzstan,489,114,5
98,Guinea,477,59,3
99,Honduras,457,10,46
100,SanMarino,435,57,39
101,Malta,422,91,3
102,Jordan,407,265,7
103,Réunion,402,237,0
104,Palestine,402,69,2
105,Taiwan,395,166,6
106,Georgia,370,79,3
107,Senegal,342,198,2
108,Mauritius,324,108,9
109,Montenegro,303,55,5
110,IsleofMan,291,169,4
111,DRC,287,25,23
112,Vietnam,268,198,0
113,Kenya,246,53,11
114,Mayotte,245,117,4
115,SriLanka,244,77,7
116,Venezuela,227,113,9
117,Guatemala,214,21,7
118,Paraguay,202,35,8
119,FaeroeIslands,184,171,0
120,ElSalvador,177,38,7
121,Mali,171,34,13
122,Jamaica,163,25,5
123,Martinique,158,73,8
124,Tanzania,147,11,5
125,Guadeloupe,145,67,8
126,Rwanda,143,65,0
127,Brunei,136,112,1
128,Gibraltar,132,105,0
129,Cambodia,122,98,0
130,Madagascar,117,33,0
131,Somalia,116,2,6
132,TrinidadandTobago,114,20,8
133,Gabon,108,7,1
134,FrenchGuiana,96,61,0
135,Aruba,96,43,2
136,Ethiopia,96,15,3
137,Monaco,94,20,3
138,Myanmar,88,5,4
139,Togo,83,48,5
140,Bermuda,83,35,5
141,Liechtenstein,79,55,1
142,EquatorialGuinea,79,4,0
143,Liberia,76,7,7
144,Barbados,75,15,5
145,Guyana,63,9,6
146,CaymanIslands,61,7,1
147,CaboVerde,56,1,1
148,Uganda,55,20,0
149,FrenchPolynesia,55,2,0
150,Bahamas,54,9,9
151,Zambia,52,30,2
152,Libya,49,11,1
153,Macao,45,16,0
154,Haiti,43,0,3
155,GuineaBissau,43,0,0
156,PuertoRico,39,1,2
157,Syria,38,5,2
158,Benin,35,18,1
159,SaintMartin,35,13,2
160,Eritrea,35,0,0
161,Mozambique,34,2,0
162,Sudan,33,4,6
163,Guam,32,0,1
164,Mongolia,31,5,0
165,Nepal,30,2,0
166,Maldives,29,16,0
167,Chad,27,5,0
168,SierraLeone,26,0,0
169,Zimbabwe,24,2,3
170,AntiguaandBarbuda,23,3,3
171,Angola,19,5,2
172,Laos,19,2,0
173,NewCaledonia,18,14,0
174,TimorLeste,18,1,0
175,Belize,18,0,2
176,Eswatini,17,8,1
177,Malawi,17,3,2
178,Fiji,17,0,0
179,USVirginIslands,17,0,0
180,Dominica,16,8,0
181,Namibia,16,4,0
182,SaintLucia,15,11,0
183,Botswana,15,0,1
184,Curaçao,14,10,1
185,Grenada,14,6,0
186,SaintKittsandNevis,14,0,0
187,CAR,12,4,0
188,StVincentGrenadines,12,1,0
189,Greenland,11,11,0
190,Seychelles,11,5,0
191,Montserrat,11,1,0
192,TurksandCaicos,11,0,1
193,Suriname,10,6,1
194,Nicaragua,9,4,1
195,Gambia,9,2,1
196,VaticanCity,8,2,0
197,Mauritania,7,2,1
198,PapuaNewGuinea,7,0,0
199,StBarth,6,4,0
200,WesternSahara,6,0,0
201,Bhutan,5,2,0
202,Burundi,5,0,1
203,BritishVirginIslands,4,2,0
204,SaoTomeandPrincipe,4,0,0
205,Anguilla,3,1,0
206,Kosovo,2,0,0
207,Yemen,1,0,0
