,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"188,530","7,251","3,889"
1,Italy,"105,792","15,729","12,428"
2,Spain,"95,923","19,259","8,464"
3,China,"81,518","76,052","3,305"
4,Germany,"71,808","16,100",775
5,France,"52,128","9,444","3,523"
6,Iran,"44,605","14,656","2,898"
7,UK,"25,150",135,"1,789"
8,Switzerland,"16,605","1,823",433
9,Turkey,"13,531",243,214
10,Belgium,"12,775","1,696",705
11,Netherlands,"12,595",250,"1,039"
12,Austria,"10,180","1,095",128
13,SKorea,"9,887","5,567",165
14,Canada,"8,612","1,242",101
15,Portugal,"7,443",43,160
16,Brazil,"5,717",127,201
17,Israel,"5,358",224,20
18,Australia,"4,763",345,20
19,Norway,"4,641",13,39
20,Sweden,"4,435",16,180
21,Czechia,"3,308",45,31
22,Ireland,"3,235",5,71
23,Denmark,"2,860",1,90
24,Malaysia,"2,766",537,43
25,Chile,"2,738",156,12
26,Russia,"2,337",121,17
27,Poland,"2,311",7,33
28,Ecuador,"2,302",58,79
29,Romania,"2,245",220,82
30,Japan,"2,229",424,66
31,Luxembourg,"2,178",80,23
32,Philippines,"2,084",49,88
33,Pakistan,"1,938",76,26
34,Thailand,"1,651",342,10
35,SaudiArabia,"1,563",165,10
36,Indonesia,"1,528",81,136
37,Finland,"1,418",10,17
38,India,"1,397",123,35
39,SouthAfrica,"1,353",31,5
40,Greece,"1,314",52,49
41,Mexico,"1,215",35,29
42,Panama,"1,181",9,30
43,Iceland,"1,135",198,2
44,DominicanRepublic,"1,109",5,51
45,Peru,"1,065",394,30
46,Argentina,"1,054",240,27
47,Singapore,926,240,3
48,Colombia,906,31,16
49,Serbia,900,42,23
50,Croatia,867,67,6
51,Slovenia,802,10,15
52,Qatar,781,62,2
53,Estonia,745,26,4
54,Algeria,716,46,44
55,HongKong,715,128,4
56,,712,603,10
57,Egypt,710,157,46
58,NewZealand,708,83,1
59,Iraq,694,170,50
60,UAE,664,61,6
61,Ukraine,645,10,17
62,Morocco,617,24,36
63,Bahrain,567,295,4
64,Lithuania,537,7,8
65,Armenia,532,30,3
66,Hungary,492,37,16
67,Lebanon,470,37,12
68,BosniaandHerzegovina,420,17,13
69,Bulgaria,399,17,8
70,Latvia,398,1,0
71,Tunisia,394,3,10
72,Andorra,376,10,12
73,Slovakia,363,3,0
74,Moldova,353,18,4
75,CostaRica,347,4,2
76,Kazakhstan,343,24,2
77,Uruguay,338,41,1
78,NorthMacedonia,329,12,9
79,Taiwan,322,39,5
80,Azerbaijan,298,26,5
81,Kuwait,289,73,0
82,Jordan,274,30,5
83,Cyprus,262,23,8
84,BurkinaFaso,261,32,14
85,Réunion,247,1,0
86,Albania,243,52,15
87,SanMarino,236,13,26
88,Vietnam,212,58,0
89,Cameroon,193,5,6
90,Oman,192,34,1
91,Cuba,186,8,6
92,IvoryCoast,179,7,1
93,Senegal,175,40,0
94,Afghanistan,174,5,4
95,Uzbekistan,172,7,2
96,FaeroeIslands,169,74,0
97,Malta,169,2,0
98,Ghana,161,31,5
99,Belarus,152,47,1
100,SriLanka,143,17,2
101,Mauritius,143,0,5
102,Honduras,141,3,7
103,Venezuela,135,39,3
104,Nigeria,135,8,2
105,Brunei,129,45,1
106,Martinique,128,27,3
107,Palestine,119,18,1
108,Bolivia,115,0,7
109,Guadeloupe,114,22,4
110,Georgia,110,21,0
111,Cambodia,109,23,0
112,Montenegro,109,0,2
113,Kyrgyzstan,107,3,0
114,DRC,98,2,8
115,Mayotte,94,10,1
116,TrinidadandTobago,87,1,3
117,Rwanda,75,0,0
118,Gibraltar,69,34,0
119,Liechtenstein,68,0,0
120,Paraguay,65,1,3
121,IsleofMan,60,0,0
122,Kenya,59,1,1
123,Madagascar,57,0,0
124,Aruba,55,1,0
125,Monaco,52,2,1
126,Bangladesh,51,25,5
127,FrenchGuiana,51,15,0
128,Uganda,44,0,0
129,Macao,41,10,0
130,PuertoRico,39,1,2
131,Guatemala,38,12,1
132,Jamaica,38,2,2
133,FrenchPolynesia,37,0,0
134,Zambia,36,0,0
135,Togo,34,10,1
136,Barbados,34,0,0
137,Niger,34,0,3
138,Bermuda,32,10,0
139,Guam,32,0,1
140,ElSalvador,32,0,1
141,Djibouti,30,0,0
142,Mali,28,0,2
143,Ethiopia,26,2,0
144,Guinea,22,0,0
145,Tanzania,19,1,1
146,Maldives,18,13,0
147,USVirginIslands,17,0,0
148,NewCaledonia,16,0,0
149,Gabon,16,0,1
150,SaintMartin,15,2,1
151,Haiti,15,1,0
152,EquatorialGuinea,15,1,0
153,Eritrea,15,0,0
154,Myanmar,15,0,1
155,Bahamas,14,1,0
156,CaymanIslands,14,0,1
157,SaintLucia,13,1,0
158,Mongolia,12,2,0
159,Guyana,12,0,2
160,Dominica,12,0,0
161,Namibia,11,2,0
162,Curaçao,11,2,1
163,Greenland,10,2,0
164,Libya,10,1,0
165,Syria,10,0,2
166,Seychelles,10,0,0
167,Suriname,10,0,0
168,Benin,9,1,0
169,Eswatini,9,0,0
170,Grenada,9,0,0
171,Laos,9,0,0
172,Mozambique,8,0,0
173,Zimbabwe,8,0,1
174,SaintKittsandNevis,8,0,0
175,GuineaBissau,8,0,0
176,Angola,7,1,2
177,Sudan,7,1,2
178,Chad,7,0,0
179,AntiguaandBarbuda,7,0,0
180,Mauritania,6,2,1
181,StBarth,6,1,0
182,CaboVerde,6,0,1
183,VaticanCity,6,0,0
184,Nepal,5,1,0
185,Somalia,5,1,0
186,Fiji,5,0,0
187,Montserrat,5,0,0
188,TurksandCaicos,5,0,0
189,Nicaragua,5,0,1
