,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"277,161","12,283","7,392"
1,Italy,"119,827","19,758","14,681"
2,Spain,"119,199","30,513","11,198"
3,Germany,"91,159","24,575","1,275"
4,China,"81,639","76,755","3,326"
5,France,"64,338","14,008","6,507"
6,Iran,"53,183","17,935","3,294"
7,UK,"38,168",135,"3,605"
8,Turkey,"20,921",484,425
9,Switzerland,"19,606","4,846",591
10,Belgium,"16,770","2,872","1,143"
11,Netherlands,"15,723",250,"1,487"
12,Canada,"12,375","2,186",208
13,Austria,"11,524","2,022",168
14,SKorea,"10,156","6,325",177
15,Portugal,"9,886",68,246
16,Brazil,"9,216",127,365
17,Israel,"7,428",403,40
18,Sweden,"6,131",205,358
19,Australia,"5,454",585,28
20,Norway,"5,370",32,59
21,Ireland,"4,273",25,120
22,Czechia,"4,190",72,53
23,Russia,"4,149",281,34
24,Denmark,"3,757","1,193",139
25,Chile,"3,737",427,22
26,Poland,"3,383",56,71
27,Ecuador,"3,368",65,145
28,Malaysia,"3,333",827,53
29,Romania,"3,183",283,133
30,Philippines,"3,018",52,136
31,Pakistan,"2,686",126,40
32,Japan,"2,617",514,63
33,Luxembourg,"2,612",500,31
34,India,"2,567",192,72
35,SaudiArabia,"2,039",351,25
36,Indonesia,"1,986",134,181
37,Thailand,"1,978",612,19
38,Mexico,"1,688",633,60
39,Panama,"1,673",10,41
40,Finland,"1,615",300,20
41,Greece,"1,613",78,63
42,Peru,"1,595",537,61
43,SouthAfrica,"1,505",95,9
44,DominicanRepublic,"1,488",16,68
45,Serbia,"1,476",54,39
46,Iceland,"1,364",309,4
47,Argentina,"1,353",266,42
48,Colombia,"1,267",55,25
49,UAE,"1,264",108,9
50,Algeria,"1,171",62,105
51,Singapore,"1,114",282,5
52,Croatia,"1,079",92,8
53,Qatar,"1,075",93,3
54,Ukraine,"1,072",22,27
55,Egypt,985,216,66
56,Estonia,961,48,12
57,NewZealand,950,127,1
58,Slovenia,934,70,20
59,HongKong,845,173,4
60,Iraq,820,226,54
61,Morocco,791,57,48
62,Armenia,736,43,7
63,,712,619,11
64,Lithuania,696,7,9
65,Bahrain,672,382,4
66,Hungary,623,43,26
67,Moldova,591,26,8
68,BosniaandHerzegovina,579,27,17
69,Cameroon,509,17,8
70,Lebanon,508,50,17
71,Tunisia,495,5,18
72,Latvia,493,1,1
73,Bulgaria,485,30,14
74,Kazakhstan,464,29,6
75,Slovakia,450,10,1
76,Azerbaijan,443,32,5
77,Andorra,439,16,16
78,NorthMacedonia,430,20,12
79,Kuwait,417,82,0
80,CostaRica,416,11,2
81,Cyprus,396,28,11
82,Uruguay,386,86,4
83,Belarus,351,53,4
84,Taiwan,348,50,5
85,Réunion,321,40,0
86,Jordan,310,58,5
87,Albania,304,89,17
88,BurkinaFaso,302,50,16
89,Afghanistan,281,10,6
90,Cuba,269,15,6
91,Honduras,264,3,15
92,Oman,252,57,1
93,SanMarino,251,26,32
94,Vietnam,239,85,0
95,Uzbekistan,227,25,2
96,IvoryCoast,218,19,1
97,Nigeria,210,25,4
98,Senegal,207,66,1
99,Ghana,205,31,5
100,Malta,202,2,0
101,Palestine,194,21,1
102,Mauritius,186,0,7
103,FaeroeIslands,179,91,0
104,Montenegro,174,1,2
105,SriLanka,159,24,5
106,Georgia,155,28,0
107,Venezuela,153,52,7
108,DRC,148,3,16
109,Martinique,143,27,3
110,Bolivia,139,1,10
111,Brunei,134,65,1
112,Guadeloupe,130,24,7
113,Kyrgyzstan,130,6,1
114,Mayotte,128,10,2
115,Kenya,122,4,4
116,Niger,120,0,5
117,Cambodia,114,35,0
118,IsleofMan,114,0,1
119,TrinidadandTobago,100,1,6
120,Paraguay,96,12,3
121,Gibraltar,95,46,0
122,Rwanda,89,0,0
123,Liechtenstein,75,0,0
124,Guinea,73,2,0
125,Madagascar,70,0,0
126,Monaco,64,3,1
127,Aruba,62,1,0
128,Bangladesh,61,26,6
129,FrenchGuiana,57,22,0
130,Jamaica,53,7,3
131,Barbados,51,0,0
132,Guatemala,50,12,1
133,Djibouti,49,8,0
134,Uganda,48,0,0
135,ElSalvador,46,0,3
136,Macao,42,10,0
137,Togo,40,17,3
138,Zambia,39,2,1
139,PuertoRico,39,1,2
140,Mali,39,0,3
141,FrenchPolynesia,39,0,0
142,Bermuda,35,14,0
143,Ethiopia,35,3,0
144,Guam,32,0,1
145,CaymanIslands,29,1,1
146,Bahamas,24,0,3
147,Guyana,23,0,4
148,SaintMartin,22,2,1
149,Eritrea,22,0,0
150,Gabon,21,1,1
151,Tanzania,20,3,1
152,Myanmar,20,0,1
153,Maldives,19,13,0
154,Haiti,18,1,0
155,NewCaledonia,18,1,0
156,USVirginIslands,17,0,0
157,Libya,17,0,1
158,Benin,16,2,0
159,EquatorialGuinea,16,1,0
160,Syria,16,0,2
161,GuineaBissau,15,0,0
162,AntiguaandBarbuda,15,0,0
163,Namibia,14,3,0
164,Mongolia,14,2,0
165,Dominica,14,0,0
166,SaintLucia,13,1,0
167,Grenada,12,0,0
168,Curaçao,11,3,1
169,Greenland,10,3,0
170,Sudan,10,2,2
171,Mozambique,10,0,0
172,Seychelles,10,0,0
173,Laos,10,0,0
174,Suriname,10,0,1
175,Zimbabwe,9,0,1
176,SaintKittsandNevis,9,0,0
177,Eswatini,9,0,0
178,Angola,8,1,2
179,Chad,8,0,0
180,CAR,8,0,0
181,StVincentGrenadines,7,1,0
182,Somalia,7,1,0
183,Fiji,7,0,0
184,Liberia,7,0,0
185,VaticanCity,7,0,0
186,Mauritania,6,2,1
187,Nepal,6,1,0
188,StBarth,6,1,0
189,Montserrat,6,0,0
190,CaboVerde,6,0,1
191,Bhutan,5,2,0
192,TurksandCaicos,5,0,0
193,Nicaragua,5,0,1
194,Gambia,4,2,1
195,Belize,4,0,0
196,Botswana,4,0,1
197,BritishVirginIslands,3,0,0
198,Malawi,3,0,0
199,Anguilla,3,0,0
200,Burundi,3,0,0
201,SierraLeone,2,0,0
202,Kosovo,2,0,0
203,TimorLeste,1,0,0
204,PapuaNewGuinea,1,0,0
