,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"586,941","36,948","23,640"
1,Spain,"170,099","64,727","17,756"
2,Italy,"159,516","35,435","20,465"
3,France,"136,779","27,718","14,967"
4,Germany,"130,072","64,300","3,194"
5,UK,"88,621",135,"11,329"
6,China,"82,249","77,738","3,341"
7,Iran,"73,303","45,983","4,585"
8,Turkey,"61,049","3,957","1,296"
9,Belgium,"30,589","6,707","3,903"
10,Netherlands,"26,551",250,"2,823"
11,Switzerland,"25,688","13,700","1,138"
12,Canada,"25,680","7,756",780
13,Brazil,"23,723",173,"1,355"
14,Russia,"18,328","1,470",148
15,Portugal,"16,934",277,535
16,Austria,"14,041","7,343",368
17,Israel,"11,586","1,855",116
18,Sweden,"10,948",381,919
19,Ireland,"10,647",25,365
20,SKorea,"10,564","7,534",222
21,India,"10,453","1,181",358
22,Peru,"9,784","2,642",216
23,Japan,"7,618",799,143
24,Ecuador,"7,529",597,355
25,Chile,"7,525","2,367",82
26,Poland,"6,934",487,245
27,Romania,"6,633",914,331
28,Norway,"6,605",32,134
29,Australia,"6,359","3,494",61
30,Denmark,"6,318","2,235",285
31,Czechia,"6,059",519,143
32,Pakistan,"5,496","1,095",93
33,Mexico,"5,014","1,964",332
34,SaudiArabia,"4,934",805,65
35,Philippines,"4,932",242,315
36,Malaysia,"4,817","2,276",77
37,Indonesia,"4,557",380,399
38,UAE,"4,521",852,25
39,Serbia,"4,054",400,85
40,Panama,"3,472",61,94
41,Luxembourg,"3,292",500,69
42,Qatar,"3,231",334,7
43,DominicanRepublic,"3,167",152,177
44,Ukraine,"3,102",97,93
45,Finland,"3,064",300,59
46,Belarus,"2,919",203,29
47,Singapore,"2,918",586,9
48,Colombia,"2,852",319,112
49,Thailand,"2,579","1,288",40
50,Argentina,"2,277",515,98
51,SouthAfrica,"2,272",410,27
52,Egypt,"2,190",589,164
53,Greece,"2,145",269,99
54,Algeria,"1,983",601,313
55,Morocco,"1,763",203,126
56,Moldova,"1,712",107,35
57,Iceland,"1,711",933,8
58,Croatia,"1,650",400,25
59,Hungary,"1,458",120,109
60,Iraq,"1,378",717,78
61,NewZealand,"1,366",628,9
62,Bahrain,"1,361",591,6
63,Estonia,"1,332",102,28
64,Kuwait,"1,300",150,2
65,Slovenia,"1,212",152,55
66,Azerbaijan,"1,148",289,12
67,Kazakhstan,"1,091",138,12
68,Lithuania,"1,062",101,24
69,Armenia,"1,039",211,14
70,BosniaandHerzegovina,"1,037",206,39
71,HongKong,"1,010",397,4
72,Uzbekistan,998,85,4
73,NorthMacedonia,854,44,38
74,Cameroon,848,98,12
75,Bangladesh,803,42,39
76,Slovakia,769,107,2
77,Oman,727,124,4
78,Cuba,726,121,21
79,Tunisia,726,43,34
80,,712,639,12
81,Bulgaria,685,71,32
82,Afghanistan,665,32,21
83,Cyprus,662,65,12
84,Latvia,655,16,5
85,Andorra,646,128,29
86,Lebanon,632,80,20
87,IvoryCoast,626,89,6
88,CostaRica,612,62,3
89,Ghana,566,4,8
90,Niger,548,86,13
91,BurkinaFaso,515,161,27
92,Uruguay,483,248,8
93,Albania,467,232,23
94,Kyrgyzstan,419,67,5
95,Honduras,397,7,25
96,Taiwan,393,114,6
97,Jordan,391,215,7
98,Réunion,391,40,0
99,Malta,384,44,3
100,SanMarino,371,53,36
101,Bolivia,354,6,28
102,Nigeria,343,91,10
103,Mauritius,324,42,9
104,Guinea,319,17,0
105,Palestine,308,58,2
106,Djibouti,298,41,2
107,Senegal,291,178,2
108,Montenegro,274,5,3
109,Georgia,272,68,3
110,Vietnam,265,146,0
111,IsleofMan,242,131,2
112,DRC,235,17,20
113,SriLanka,218,56,7
114,Kenya,208,40,9
115,Mayotte,207,59,3
116,Venezuela,189,110,9
117,FaeroeIslands,184,157,0
118,Guatemala,167,19,5
119,Paraguay,159,22,7
120,Martinique,157,50,6
121,Guadeloupe,145,67,8
122,ElSalvador,137,22,6
123,Brunei,136,107,1
124,Gibraltar,129,93,0
125,Rwanda,127,42,0
126,Mali,123,26,10
127,Cambodia,122,77,0
128,TrinidadandTobago,113,16,8
129,Madagascar,106,21,0
130,Monaco,93,6,1
131,Aruba,92,32,0
132,FrenchGuiana,86,51,0
133,Liechtenstein,79,55,1
134,Togo,77,29,3
135,Ethiopia,74,14,3
136,Jamaica,73,19,4
137,Barbados,72,13,4
138,Myanmar,62,2,4
139,Somalia,60,2,2
140,Liberia,59,4,6
141,Bermuda,57,30,5
142,Gabon,57,1,1
143,FrenchPolynesia,55,0,0
144,Uganda,54,7,0
145,CaymanIslands,54,6,1
146,Tanzania,49,7,3
147,Bahamas,49,6,8
148,Guyana,47,8,6
149,Zambia,45,30,2
150,Macao,45,10,0
151,Haiti,40,0,3
152,PuertoRico,39,1,2
153,GuineaBissau,38,0,0
154,Benin,35,5,1
155,Eritrea,34,0,0
156,SaintMartin,32,11,2
157,Guam,32,0,1
158,Sudan,29,4,4
159,Libya,26,9,1
160,Syria,25,5,2
161,AntiguaandBarbuda,23,3,2
162,Chad,23,2,0
163,EquatorialGuinea,21,4,0
164,Mozambique,21,2,0
165,Maldives,20,14,0
166,Angola,19,4,2
167,Laos,19,0,0
168,NewCaledonia,18,1,0
169,Belize,18,0,2
170,Mongolia,17,4,0
171,Zimbabwe,17,0,3
172,USVirginIslands,17,0,0
173,Dominica,16,8,0
174,Namibia,16,3,0
175,Malawi,16,0,2
176,Fiji,16,0,0
177,Eswatini,15,7,0
178,SaintLucia,15,4,0
179,Curaçao,14,8,1
180,Nepal,14,1,0
181,Grenada,14,0,0
182,Botswana,13,0,1
183,StVincentGrenadines,12,1,0
184,SaintKittsandNevis,12,0,0
185,Greenland,11,11,0
186,CAR,11,3,0
187,Montserrat,11,1,0
188,Seychelles,11,0,0
189,Suriname,10,6,1
190,CaboVerde,10,1,1
191,TurksandCaicos,10,0,1
192,SierraLeone,10,0,0
193,Nicaragua,9,4,1
194,Gambia,9,2,1
195,VaticanCity,8,2,0
196,Mauritania,7,2,1
197,StBarth,6,4,0
198,WesternSahara,6,0,0
199,Bhutan,5,2,0
200,Burundi,5,0,1
201,TimorLeste,4,1,0
202,SaoTomeandPrincipe,4,0,0
203,BritishVirginIslands,3,2,0
204,Anguilla,3,1,0
205,PapuaNewGuinea,2,0,0
206,Kosovo,2,0,0
207,Yemen,1,0,0
