,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"400,412","21,674","12,854"
1,Spain,"141,942","43,208","14,045"
2,Italy,"135,586","24,392","17,127"
3,France,"109,069","19,337","10,328"
4,Germany,"107,663","36,081","2,016"
5,China,"81,802","77,279","3,333"
6,Iran,"62,589","27,039","3,872"
7,UK,"55,242",135,"6,159"
8,Turkey,"34,109","1,582",725
9,Switzerland,"22,253","8,704",821
10,Belgium,"22,194","4,157","2,035"
11,Netherlands,"19,580",250,"2,101"
12,Canada,"17,897","4,028",381
13,Brazil,"14,049",127,688
14,Austria,"12,639","4,046",243
15,Portugal,"12,442",184,345
16,SKorea,"10,384","6,776",200
17,Israel,"9,248",770,65
18,Sweden,"7,693",205,591
19,Russia,"7,497",494,58
20,Norway,"6,086",32,89
21,Australia,"5,988","2,547",49
22,Ireland,"5,709",25,210
23,India,"5,351",468,160
24,Chile,"5,116",898,43
25,Denmark,"5,071","1,491",203
26,Czechia,"5,017",172,88
27,Poland,"4,848",191,129
28,Romania,"4,417",460,197
29,Japan,"4,257",622,93
30,Pakistan,"4,035",429,57
31,Ecuador,"3,995",140,220
32,Malaysia,"3,963","1,321",63
33,Philippines,"3,764",84,177
34,Luxembourg,"2,970",500,44
35,Peru,"2,954","1,301",107
36,SaudiArabia,"2,795",615,41
37,Mexico,"2,785",633,141
38,Indonesia,"2,738",204,221
39,Serbia,"2,447",118,61
40,UAE,"2,359",186,12
41,Finland,"2,308",300,34
42,Thailand,"2,258",888,27
43,Panama,"2,249",16,59
44,Qatar,"2,057",150,6
45,DominicanRepublic,"1,956",36,98
46,Greece,"1,832",269,81
47,Colombia,"1,780",100,50
48,SouthAfrica,"1,749",95,13
49,Argentina,"1,715",338,60
50,Iceland,"1,586",559,6
51,Singapore,"1,481",377,6
52,Algeria,"1,468",113,193
53,Ukraine,"1,462",28,45
54,Egypt,"1,450",276,94
55,Croatia,"1,282",167,18
56,NewZealand,"1,210",282,1
57,Morocco,"1,184",93,90
58,Estonia,"1,149",69,21
59,Iraq,"1,122",373,65
60,Slovenia,"1,059",102,36
61,Moldova,"1,056",40,22
62,HongKong,936,236,4
63,Lithuania,880,8,15
64,Belarus,861,54,13
65,Armenia,853,87,8
66,Hungary,817,71,47
67,Bahrain,811,458,5
68,BosniaandHerzegovina,764,68,33
69,Kuwait,743,105,1
70,Azerbaijan,717,44,8
71,,712,619,11
72,Kazakhstan,697,51,6
73,Cameroon,685,60,9
74,Tunisia,623,25,23
75,NorthMacedonia,599,30,26
76,Slovakia,581,13,2
77,Bulgaria,577,42,23
78,Lebanon,548,62,19
79,Latvia,548,16,2
80,Andorra,545,39,22
81,Uzbekistan,520,30,2
82,Cyprus,494,47,9
83,CostaRica,483,24,2
84,Uruguay,424,150,7
85,Afghanistan,423,18,14
86,Cuba,396,27,11
87,BurkinaFaso,384,127,19
88,Albania,383,131,22
89,Taiwan,376,61,5
90,Oman,371,67,2
91,Réunion,358,40,0
92,Jordan,353,138,6
93,IvoryCoast,349,41,3
94,Honduras,312,6,22
95,Malta,293,5,0
96,Ghana,287,31,5
97,SanMarino,279,40,34
98,Niger,278,26,11
99,Mauritius,268,8,7
100,Palestine,261,42,1
101,Nigeria,254,44,6
102,Vietnam,251,123,0
103,Montenegro,241,4,2
104,Senegal,237,105,2
105,Kyrgyzstan,228,33,4
106,Bolivia,210,2,15
107,Georgia,196,46,3
108,SriLanka,185,42,6
109,FaeroeIslands,184,120,0
110,DRC,180,9,18
111,Kenya,172,7,6
112,Mayotte,171,22,2
113,Venezuela,166,65,7
114,Bangladesh,164,33,17
115,Martinique,152,50,4
116,IsleofMan,150,73,1
117,Guinea,144,5,0
118,Guadeloupe,139,31,7
119,Brunei,135,85,1
120,Paraguay,119,15,5
121,Cambodia,117,63,0
122,Gibraltar,113,60,0
123,TrinidadandTobago,107,1,8
124,Rwanda,105,7,0
125,Djibouti,90,9,0
126,Madagascar,88,7,0
127,Guatemala,80,17,3
128,Monaco,79,4,1
129,Liechtenstein,78,55,1
130,ElSalvador,78,5,4
131,FrenchGuiana,77,34,0
132,Aruba,74,14,0
133,Togo,65,23,3
134,Jamaica,63,9,3
135,Barbados,63,6,3
136,Mali,56,12,5
137,Ethiopia,52,4,2
138,Uganda,52,0,0
139,FrenchPolynesia,47,0,0
140,CaymanIslands,45,6,1
141,Macao,44,10,0
142,Bermuda,39,17,2
143,Zambia,39,7,1
144,PuertoRico,39,1,2
145,Bahamas,36,5,6
146,Guyana,33,8,5
147,GuineaBissau,33,0,0
148,SaintMartin,32,7,2
149,Guam,32,0,1
150,Eritrea,31,0,0
151,Gabon,30,1,1
152,Benin,26,5,1
153,Haiti,25,0,1
154,Tanzania,24,5,1
155,Myanmar,22,0,1
156,Libya,20,1,1
157,Maldives,19,13,0
158,Syria,19,3,2
159,AntiguaandBarbuda,19,0,1
160,NewCaledonia,18,1,0
161,Angola,17,2,2
162,USVirginIslands,17,0,0
163,Namibia,16,3,0
164,EquatorialGuinea,16,3,0
165,Mongolia,15,4,0
166,Dominica,15,1,0
167,Fiji,15,0,0
168,Liberia,14,3,3
169,Sudan,14,2,2
170,SaintLucia,14,1,0
171,Laos,14,0,0
172,Curaçao,13,7,1
173,Grenada,12,0,0
174,Greenland,11,10,0
175,Zimbabwe,11,0,2
176,Seychelles,11,0,0
177,SaintKittsandNevis,11,0,0
178,Eswatini,10,4,0
179,Suriname,10,3,1
180,Chad,10,2,0
181,Mozambique,10,1,0
182,Nepal,9,1,0
183,Montserrat,9,0,0
184,StVincentGrenadines,8,1,0
185,Somalia,8,1,0
186,TurksandCaicos,8,0,1
187,Malawi,8,0,1
188,CAR,8,0,0
189,CaboVerde,7,1,1
190,Belize,7,0,1
191,VaticanCity,7,0,0
192,Mauritania,6,2,1
193,StBarth,6,1,0
194,Nicaragua,6,0,1
195,Botswana,6,0,1
196,SierraLeone,6,0,0
197,Bhutan,5,2,0
198,Gambia,4,2,1
199,WesternSahara,4,0,0
200,SaoTomeandPrincipe,4,0,0
201,BritishVirginIslands,3,0,0
202,Burundi,3,0,0
203,Anguilla,3,0,0
204,PapuaNewGuinea,2,0,0
205,Kosovo,2,0,0
206,TimorLeste,1,0,0
