,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"819,175","82,973","45,343"
1,Spain,"204,178","82,514","21,282"
2,Italy,"183,957","51,600","24,648"
3,France,"158,050","39,181","20,796"
4,Germany,"148,453","99,400","5,086"
5,UK,"129,044",135,"17,337"
6,Turkey,"95,591","14,918","2,259"
7,Iran,"84,802","60,965","5,297"
8,China,"82,788","77,151","4,632"
9,Russia,"52,763","3,873",456
10,Brazil,"43,368","24,325","2,761"
11,Belgium,"40,956","9,002","5,998"
12,Canada,"38,422","13,188","1,834"
13,Netherlands,"34,134",3,"3,916"
14,Switzerland,"28,063","19,400","1,478"
15,Portugal,"21,379",917,762
16,India,"20,111","3,975",645
17,Peru,"17,837","6,982",484
18,Ireland,"16,040","9,233",730
19,Sweden,"15,322",550,"1,765"
20,Austria,"14,873","10,971",491
21,Israel,"13,942","4,507",184
22,SaudiArabia,"11,631","1,640",109
23,Japan,"11,512","1,356",281
24,Chile,"10,832","4,969",147
25,SKorea,"10,694","8,277",238
26,Ecuador,"10,398","1,207",520
27,Poland,"9,856","1,297",401
28,Pakistan,"9,749","2,156",209
29,Mexico,"9,501","2,627",857
30,Romania,"9,242","2,153",498
31,Singapore,"9,125",839,11
32,UAE,"7,755","1,443",46
33,Denmark,"7,695","4,700",370
34,Norway,"7,241",32,182
35,Indonesia,"7,135",842,616
36,Czechia,"7,033","1,753",201
37,Serbia,"6,890",977,130
38,Belarus,"6,723",577,55
39,Australia,"6,647","4,920",74
40,Philippines,"6,599",654,437
41,Qatar,"6,533",614,9
42,Ukraine,"6,125",367,161
43,Malaysia,"5,482","3,349",92
44,DominicanRepublic,"5,044",463,245
45,Panama,"4,821",231,141
46,Colombia,"4,149",804,196
47,Finland,"4,014","2,000",141
48,Luxembourg,"3,618",670,78
49,Egypt,"3,490",870,264
50,SouthAfrica,"3,465","1,055",58
51,Bangladesh,"3,382",87,110
52,Morocco,"3,209",393,145
53,Argentina,"3,144",840,151
54,Thailand,"2,826","2,352",49
55,Algeria,"2,811","1,152",392
56,Moldova,"2,614",505,72
57,Greece,"2,401",577,121
58,Hungary,"2,168",295,213
59,Kuwait,"2,080",412,11
60,Kazakhstan,"2,025",489,19
61,Bahrain,"1,973",784,7
62,Croatia,"1,908",801,48
63,Iceland,"1,778","1,417",10
64,Uzbekistan,"1,678",357,6
65,Iraq,"1,602","1,096",83
66,Estonia,"1,552",169,43
67,Oman,"1,508",238,8
68,Azerbaijan,"1,480",865,20
69,NewZealand,"1,451","1,036",14
70,Armenia,"1,401",609,24
71,Lithuania,"1,350",298,38
72,Slovenia,"1,344",197,77
73,BosniaandHerzegovina,"1,342",437,51
74,NorthMacedonia,"1,231",224,55
75,Slovakia,"1,199",258,14
76,Cameroon,"1,163",329,43
77,Cuba,"1,137",309,38
78,Afghanistan,"1,092",150,36
79,Ghana,"1,042",99,9
80,HongKong,"1,030",650,4
81,Bulgaria,975,170,45
82,Djibouti,945,112,2
83,IvoryCoast,916,303,13
84,Tunisia,901,170,38
85,Cyprus,784,98,12
86,Nigeria,782,197,25
87,Latvia,748,133,9
88,Andorra,717,282,37
89,,712,644,13
90,Guinea,688,127,6
91,Lebanon,677,108,21
92,CostaRica,669,150,6
93,Niger,657,127,20
94,Kyrgyzstan,612,254,7
95,Albania,609,345,26
96,Bolivia,609,44,37
97,BurkinaFaso,600,362,38
98,Uruguay,543,324,12
99,Honduras,510,30,46
100,SanMarino,476,62,40
101,Palestine,466,71,4
102,Malta,443,150,3
103,Jordan,428,297,7
104,Taiwan,425,217,6
105,Senegal,412,242,5
106,Réunion,410,238,0
107,Georgia,408,97,4
108,DRC,350,35,25
109,Mauritius,328,243,9
110,Guatemala,316,24,8
111,Montenegro,313,101,5
