,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"614,092","38,820","26,054"
1,Spain,"174,060","67,504","18,255"
2,Italy,"162,488","37,130","21,067"
3,France,"143,303","28,805","15,729"
4,Germany,"132,210","68,200","3,495"
5,UK,"93,873",135,"12,107"
6,China,"82,295","77,816","3,342"
7,Iran,"74,877","48,129","4,683"
8,Turkey,"65,111","4,799","1,403"
9,Belgium,"31,119","6,868","4,157"
10,Netherlands,"27,419",250,"2,945"
11,Canada,"27,063","8,235",903
12,Switzerland,"25,936","13,700","1,174"
13,Brazil,"25,684","14,026","1,552"
14,Russia,"21,102","1,694",170
15,Portugal,"17,448",347,567
16,Austria,"14,226","7,633",384
17,Israel,"12,046","2,195",123
18,India,"11,487","1,359",393
19,Ireland,"11,479",25,406
20,Sweden,"11,445",381,"1,033"
21,SKorea,"10,591","7,616",225
22,Peru,"10,303","2,869",230
23,Chile,"7,917","2,646",92
24,Japan,"7,885",853,146
25,Ecuador,"7,603",696,369
26,Poland,"7,202",618,263
27,Romania,"6,879","1,051",351
28,Norway,"6,623",32,139
29,Denmark,"6,511","2,515",299
30,Australia,"6,416","3,598",61
31,Czechia,"6,111",642,161
32,Pakistan,"5,837","1,378",96
33,Mexico,"5,399","2,125",406
34,SaudiArabia,"5,369",889,73
35,Philippines,"5,223",295,335
36,Malaysia,"4,987","2,478",82
37,UAE,"4,933",933,28
38,Indonesia,"4,839",426,459
39,Serbia,"4,465",400,94
40,Panama,"3,574",72,95
41,Qatar,"3,428",373,7
42,Ukraine,"3,372",119,98
43,Luxembourg,"3,307",500,67
44,DominicanRepublic,"3,286",162,183
45,Belarus,"3,281",203,33
46,Singapore,"3,252",611,10
47,Finland,"3,161",300,64
48,Colombia,"2,979",354,127
49,Thailand,"2,613","1,405",41
50,Argentina,"2,443",559,105
51,SouthAfrica,"2,415",410,27
52,Egypt,"2,350",589,178
53,Greece,"2,170",269,101
54,Algeria,"2,070",691,326
55,Moldova,"1,934",134,40
56,Morocco,"1,888",217,126
57,Iceland,"1,720",989,8
58,Croatia,"1,704",415,31
59,Bahrain,"1,528",645,7
60,Hungary,"1,512",122,122
61,Iraq,"1,400",766,78
