,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"367,385","19,671","10,876"
1,Spain,"136,675","40,437","13,341"
2,Italy,"132,547","22,837","16,523"
3,Germany,"103,375","28,700","1,810"
4,France,"98,010","17,250","8,911"
5,China,"81,740","77,167","3,331"
6,Iran,"60,500","24,236","3,739"
7,UK,"51,608",135,"5,373"
8,Turkey,"30,217","1,326",649
9,Switzerland,"21,657","8,056",765
10,Belgium,"20,814","3,986","1,632"
11,Netherlands,"18,803",250,"1,867"
12,Canada,"16,667","3,616",323
13,Austria,"12,297","3,463",220
14,Brazil,"12,232",127,566
15,Portugal,"11,730",140,311
16,SKorea,"10,331","6,694",192
17,Israel,"8,904",585,57
18,Sweden,"7,206",205,477
19,Russia,"6,343",406,47
20,Australia,"5,895","2,432",45
21,Norway,"5,865",32,76
22,Ireland,"5,364",25,174
23,Czechia,"4,822",121,78
24,Chile,"4,815",728,37
25,India,"4,778",375,136
26,Denmark,"4,681","1,378",187
27,Poland,"4,413",162,107
28,Romania,"4,057",406,176
29,Japan,"3,906",592,92
30,Malaysia,"3,793","1,241",62
31,Pakistan,"3,766",259,53
32,Ecuador,"3,747",100,191
33,Philippines,"3,660",73,163
34,Luxembourg,"2,843",500,41
35,SaudiArabia,"2,605",551,38
36,Peru,"2,561",997,92
37,Indonesia,"2,491",192,209
38,Mexico,"2,439",633,125
39,Thailand,"2,220",793,26
40,Serbia,"2,200",118,58
41,Finland,"2,176",300,27
42,Panama,"2,100",14,55
43,UAE,"2,076",167,11
44,Qatar,"1,832",131,4
45,DominicanRepublic,"1,828",33,86
46,Greece,"1,755",269,79
47,SouthAfrica,"1,686",95,12
48,Argentina,"1,628",325,53
49,Colombia,"1,579",88,46
50,Iceland,"1,562",460,6
51,Algeria,"1,423",90,173
52,Singapore,"1,375",344,6
53,Egypt,"1,322",259,85
54,Ukraine,"1,319",28,38
55,Croatia,"1,222",130,16
56,NewZealand,"1,160",241,1
57,Morocco,"1,120",81,80
58,Estonia,"1,108",62,19
59,Iraq,"1,031",344,64
60,Slovenia,"1,021",102,30
61,Moldova,965,37,19
62,HongKong,915,216,4
63,Lithuania,843,8,15
64,Armenia,833,62,8
65,Bahrain,756,458,4
66,Hungary,744,67,38
67,,712,619,11
68,Belarus,700,53,13
69,BosniaandHerzegovina,674,47,29
70,Kuwait,665,103,1
71,Kazakhstan,662,46,6
72,Cameroon,658,17,9
73,Azerbaijan,641,44,7
74,Tunisia,596,5,22
75,NorthMacedonia,570,30,23
76,Bulgaria,549,39,22
77,Latvia,542,16,1
78,Lebanon,541,60,19
79,Slovakia,534,8,2
80,Andorra,525,31,21
81,CostaRica,467,18,2
82,Cyprus,465,45,9
83,Uzbekistan,457,30,2
84,Uruguay,415,123,6
85,Albania,377,116,21
86,Taiwan,373,57,5
87,Afghanistan,367,18,11
88,BurkinaFaso,364,108,18
89,Cuba,350,18,9
90,Jordan,349,126,6
91,Réunion,349,40,0
92,Oman,331,61,2
93,IvoryCoast,323,41,3
94,Honduras,298,6,22
95,Ghana,287,31,5
96,SanMarino,277,35,32
97,Palestine,254,24,1
98,Niger,253,26,10
99,Vietnam,245,95,0
100,Mauritius,244,7,7
101,Malta,241,5,0
102,Nigeria,238,35,5
103,Montenegro,233,1,2
104,Senegal,226,92,2
105,Kyrgyzstan,216,33,4
106,Bolivia,194,2,14
107,Georgia,188,39,2
108,FaeroeIslands,183,107,0
109,SriLanka,178,38,5
110,Venezuela,165,65,7
111,Mayotte,164,15,2
112,DRC,161,5,18
113,Kenya,158,4,6
114,Martinique,151,50,4
115,IsleofMan,139,55,1
116,Guadeloupe,139,31,7
117,Brunei,135,82,1
118,Guinea,128,5,0
119,Bangladesh,123,33,12
120,Cambodia,114,53,0
121,Paraguay,113,12,5
122,Gibraltar,109,52,0
123,Rwanda,105,4,0
124,TrinidadandTobago,105,1,8
125,Djibouti,90,9,0
126,Madagascar,82,2,0
127,Liechtenstein,77,55,1
128,Monaco,77,4,1
129,FrenchGuiana,72,34,0
130,Aruba,71,2,0
