,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"502,876","27,314","18,747"
1,Spain,"158,273","55,668","16,081"
2,Italy,"147,577","30,455","18,849"
3,France,"124,869","24,932","13,197"
4,Germany,"122,171","53,913","2,736"
5,China,"81,953","77,525","3,339"
6,UK,"73,758",344,"8,958"
7,Iran,"68,192","35,465","4,232"
8,Turkey,"47,029","2,423","1,006"
9,Belgium,"26,667","5,568","3,019"
10,Switzerland,"24,551","11,100","1,002"
11,Netherlands,"23,097",250,"2,511"
12,Canada,"22,148","6,013",569
13,Brazil,"19,943",173,"1,074"
14,Portugal,"15,472",233,435
15,Austria,"13,560","6,064",319
16,Russia,"11,917",795,94
17,SKorea,"10,450","7,117",208
18,Israel,"10,408","1,183",95
19,Sweden,"9,685",381,870
20,Ireland,"8,089",25,287
21,India,"7,600",774,249
22,Ecuador,"7,161",368,297
23,Chile,"6,501","1,571",65
24,Norway,"6,314",32,113
25,Australia,"6,238","3,141",54
26,Japan,"6,005",685,99
27,Poland,"5,955",318,181
28,Peru,"5,897","1,569",169
29,Denmark,"5,819","1,773",247
30,Czechia,"5,732",346,119
31,Romania,"5,467",729,270
32,Pakistan,"4,695",727,66
33,Malaysia,"4,346","1,830",70
34,Philippines,"4,195",140,221
35,Mexico,"3,844",633,233
36,SaudiArabia,"3,651",685,47
37,Indonesia,"3,512",282,306
38,UAE,"3,360",418,16
39,Luxembourg,"3,223",500,54
40,Serbia,"3,105",118,71
41,Panama,"2,974",17,74
42,Finland,"2,769",300,48
43,DominicanRepublic,"2,620",98,126
44,Qatar,"2,512",227,6
45,Thailand,"2,473","1,013",33
46,Colombia,"2,473",197,80
47,Ukraine,"2,203",61,69
48,Singapore,"2,108",492,7
49,Greece,"2,011",269,92
50,SouthAfrica,"2,003",410,24
51,Belarus,"1,981",169,19
52,Argentina,"1,975",375,82
53,Egypt,"1,794",384,135
54,Algeria,"1,761",405,256
55,Iceland,"1,675",751,7
56,Croatia,"1,495",231,21
57,Morocco,"1,448",122,107
58,Moldova,"1,438",56,29
59,NewZealand,"1,312",422,4
60,Iraq,"1,279",550,70
61,Estonia,"1,258",93,24
62,Hungary,"1,190",112,77
63,Slovenia,"1,160",137,45
64,Lithuania,999,54,22
65,Bahrain,998,551,6
66,Kuwait,993,123,1
67,Azerbaijan,991,159,10
68,HongKong,990,309,4
69,Armenia,937,149,12
70,BosniaandHerzegovina,901,129,36
71,Cameroon,820,98,12
72,Kazakhstan,812,64,10
73,Slovakia,715,23,2
74,,712,619,11
75,NorthMacedonia,711,41,32
76,Tunisia,671,25,25
77,Uzbekistan,669,42,3
78,Bulgaria,635,54,25
79,Latvia,612,16,3
80,Lebanon,609,76,20
81,Andorra,601,71,26
82,Cyprus,595,58,10
83,Cuba,564,51,15
84,CostaRica,558,42,3
85,Afghanistan,521,32,15
86,Uruguay,494,214,7
87,Oman,484,109,3
88,IvoryCoast,480,54,3
89,BurkinaFaso,448,149,26
90,Niger,438,41,11
91,Bangladesh,424,33,27
92,Albania,416,182,23
93,Taiwan,382,91,6
94,Réunion,382,40,0
95,Honduras,382,7,23
96,Ghana,378,4,6
97,Jordan,372,170,7
98,Malta,350,16,2
99,SanMarino,344,50,34
100,Mauritius,318,23,9
101,Nigeria,305,58,7
102,Kyrgyzstan,298,35,5
103,Bolivia,268,2,19
104,Palestine,267,45,2
105,Senegal,265,137,2
106,Vietnam,257,144,0
107,Montenegro,257,4,2
108,Georgia,234,54,3
109,DRC,223,16,20
110,Guinea,212,15,0
111,IsleofMan,201,103,1
112,SriLanka,197,54,7
113,Mayotte,191,50,2
114,Kenya,189,22,7
115,FaeroeIslands,184,145,0
116,Venezuela,175,84,9
117,Martinique,155,50,6
118,Djibouti,150,36,1
119,Guadeloupe,143,67,8
120,Guatemala,137,19,3
121,Brunei,136,99,1
122,Paraguay,133,18,6
123,Gibraltar,127,69,0
124,Cambodia,119,72,0
125,Rwanda,118,7,0
126,ElSalvador,117,15,6
127,TrinidadandTobago,109,3,8
128,Madagascar,93,11,0
129,Monaco,90,5,1
130,Mali,87,22,7
131,Aruba,86,27,0
132,FrenchGuiana,83,43,0
133,Liechtenstein,79,55,1
134,Togo,76,25,3
135,Barbados,67,11,4
136,Jamaica,65,13,4
137,Ethiopia,65,4,3
138,Uganda,53,0,0
139,FrenchPolynesia,51,0,0
140,Bermuda,48,25,4
141,Macao,45,10,0
142,CaymanIslands,45,6,1
143,Gabon,44,1,1
144,Bahamas,42,5,8
145,Zambia,40,25,2
146,PuertoRico,39,1,2
147,Guyana,37,8,6
148,Liberia,37,3,5
149,GuineaBissau,36,0,0
150,Benin,35,5,1
151,Eritrea,34,0,0
152,SaintMartin,32,11,2
153,Tanzania,32,5,3
154,Guam,32,0,1
155,Haiti,31,0,2
156,Myanmar,28,2,3
157,Libya,24,8,1
158,Somalia,21,1,1
159,AntiguaandBarbuda,21,0,2
160,Mozambique,20,2,0
161,Maldives,19,13,0
162,Syria,19,4,2
163,Angola,19,2,2
164,EquatorialGuinea,18,3,0
165,NewCaledonia,18,1,0
166,Sudan,17,2,2
167,USVirginIslands,17,0,0
168,Dominica,16,5,0
169,Mongolia,16,4,0
170,Namibia,16,3,0
171,Fiji,16,0,0
172,Laos,16,0,0
173,SaintLucia,15,1,0
174,Curaçao,14,7,1
175,Grenada,14,0,0
176,Zimbabwe,13,0,3
177,Botswana,13,0,1
178,Eswatini,12,7,0
179,StVincentGrenadines,12,1,0
180,SaintKittsandNevis,12,0,0
181,Greenland,11,11,0
182,Chad,11,2,0
183,Seychelles,11,0,0
184,Suriname,10,4,1
185,Belize,10,0,2
186,Nepal,9,1,0
187,Malawi,9,0,1
188,Montserrat,9,0,0
189,VaticanCity,8,2,0
190,TurksandCaicos,8,0,1
191,SierraLeone,8,0,0
192,CAR,8,0,0
193,Mauritania,7,2,1
194,CaboVerde,7,1,1
195,Nicaragua,7,0,1
196,StBarth,6,1,0
197,Bhutan,5,2,0
198,Gambia,4,2,1
199,SaoTomeandPrincipe,4,0,0
200,WesternSahara,4,0,0
201,BritishVirginIslands,3,0,0
202,Burundi,3,0,0
203,Anguilla,3,0,0
204,TimorLeste,2,1,0
205,PapuaNewGuinea,2,0,0
206,Kosovo,2,0,0
207,Yemen,1,0,0
