,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"532,879","30,453","20,577"
1,Spain,"163,027","59,109","16,606"
2,Italy,"152,271","32,534","19,468"
3,France,"129,654","26,391","13,832"
4,Germany,"125,452","57,400","2,871"
5,China,"82,052","77,575","3,339"
6,UK,"78,991",344,"9,875"
7,Iran,"70,029","41,947","4,357"
8,Turkey,"52,167","2,965","1,101"
9,Belgium,"28,018","5,986","3,346"
10,Switzerland,"25,107","12,100","1,036"
11,Netherlands,"24,413",250,"2,643"
12,Canada,"23,318","6,428",653
13,Brazil,"20,962",173,"1,140"
14,Portugal,"15,987",266,470
15,Austria,"13,806","6,604",337
16,Russia,"13,584","1,045",106
17,Israel,"10,743","1,341",101
18,SKorea,"10,512","7,368",214
19,Sweden,"10,151",381,887
20,Ireland,"8,928",25,320
21,India,"8,446",969,288
22,Ecuador,"7,257",411,315
23,Chile,"6,927","1,864",73
24,Peru,"6,848","1,739",181
25,Japan,"6,748",762,108
26,Norway,"6,409",32,119
27,Poland,"6,356",375,208
28,Australia,"6,303","3,265",57
29,Denmark,"5,996","1,955",260
30,Romania,"5,990",758,291
31,Czechia,"5,902",411,129
32,Pakistan,"5,011",762,86
33,Malaysia,"4,530","1,995",73
34,Philippines,"4,428",157,247
35,Mexico,"4,219","1,772",273
36,SaudiArabia,"4,033",720,52
37,Indonesia,"3,842",286,327
38,UAE,"3,736",588,20
39,Serbia,"3,380",118,74
40,Luxembourg,"3,270",500,62
41,Panama,"3,234",23,79
42,Finland,"2,905",300,49
43,DominicanRepublic,"2,759",108,135
44,Qatar,"2,728",247,6
45,Colombia,"2,709",214,100
46,Thailand,"2,518","1,135",35
47,Ukraine,"2,511",79,73
48,Singapore,"2,299",528,8
49,Belarus,"2,226",172,23
50,Argentina,"2,142",440,89
51,Greece,"2,081",269,93
52,SouthAfrica,"2,028",410,25
53,Egypt,"1,939",426,146
54,Algeria,"1,825",460,275
55,Iceland,"1,689",841,8
56,Moldova,"1,560",75,30
57,Morocco,"1,545",146,111
58,Croatia,"1,534",323,21
59,NewZealand,"1,330",471,4
60,Iraq,"1,318",601,72
61,Hungary,"1,310",115,85
62,Estonia,"1,304",93,24
63,Slovenia,"1,188",148,50
64,Kuwait,"1,154",133,1
65,Azerbaijan,"1,058",200,11
66,Bahrain,"1,040",555,6
67,Lithuania,"1,026",54,23
68,HongKong,"1,001",336,4
69,Armenia,967,173,13
70,BosniaandHerzegovina,946,139,37
71,Kazakhstan,865,81,10
72,Cameroon,820,98,12
73,Uzbekistan,767,42,4
74,NorthMacedonia,760,41,34
75,Slovakia,728,23,2
76,,712,619,11
77,Tunisia,685,43,28
78,Bulgaria,661,62,28
79,Latvia,630,16,3
80,Cuba,620,77,16
81,Lebanon,619,77,20
82,Cyprus,616,61,10
83,Andorra,601,71,26
84,CostaRica,577,49,3
85,Afghanistan,555,32,18
86,Oman,546,109,3
87,IvoryCoast,533,58,4
88,Uruguay,494,214,7
89,Niger,491,41,11
90,BurkinaFaso,484,155,27
91,Bangladesh,482,36,30
92,Albania,433,197,23
93,Ghana,408,4,8
94,Honduras,393,7,25
95,Réunion,388,40,0
96,Taiwan,385,99,6
97,Jordan,381,177,7
98,Malta,370,16,3
99,SanMarino,356,53,35
100,Kyrgyzstan,339,44,5
101,Mauritius,319,28,9
102,Nigeria,318,70,10
103,Bolivia,300,2,24
104,Senegal,278,152,2
105,Palestine,268,57,2
106,Montenegro,263,5,2
107,Vietnam,258,144,0
108,Guinea,250,17,0
109,Georgia,242,60,3
110,IsleofMan,226,112,2
111,DRC,223,16,20
112,SriLanka,199,54,7
113,Mayotte,196,59,3
114,Kenya,191,24,7
115,Djibouti,187,36,2
116,FaeroeIslands,184,145,0
117,Venezuela,175,93,9
118,Martinique,155,50,6
119,Guatemala,153,19,3
120,Guadeloupe,143,67,8
121,Brunei,136,104,1
122,Paraguay,134,22,6
123,Gibraltar,129,84,0
124,Cambodia,122,77,0
125,Rwanda,120,18,0
126,ElSalvador,118,19,6
127,TrinidadandTobago,112,12,8
128,Madagascar,102,11,0
129,Aruba,92,29,0
130,Monaco,92,5,1
131,Mali,87,22,7
132,FrenchGuiana,86,51,0
133,Liechtenstein,79,55,1
134,Togo,76,25,3
135,Jamaica,69,13,4
136,Ethiopia,69,10,3
137,Barbados,68,11,4
138,CaymanIslands,53,6,1
139,Uganda,53,4,0
140,FrenchPolynesia,51,0,0
141,Bermuda,50,28,4
142,Liberia,48,3,5
143,Bahamas,46,5,8
144,Gabon,46,1,1
145,Macao,45,10,0
146,Guyana,45,8,6
147,Zambia,40,28,2
148,PuertoRico,39,1,2
149,Myanmar,38,2,3
150,GuineaBissau,38,0,0
151,Benin,35,5,1
152,Eritrea,34,0,0
153,Haiti,33,0,2
154,SaintMartin,32,11,2
155,Tanzania,32,5,3
156,Guam,32,0,1
157,Libya,25,8,1
158,Syria,25,5,2
159,Somalia,21,1,1
160,AntiguaandBarbuda,21,0,2
161,Mozambique,20,2,0
162,Maldives,19,13,0
163,Angola,19,4,2
164,Sudan,19,2,2
165,EquatorialGuinea,18,3,0
166,NewCaledonia,18,1,0
167,Laos,18,0,0
168,USVirginIslands,17,0,0
169,Dominica,16,5,0
170,Mongolia,16,4,0
171,Namibia,16,3,0
172,Fiji,16,0,0
173,SaintLucia,15,1,0
174,Curaçao,14,7,1
175,Zimbabwe,14,0,3
176,Grenada,14,0,0
177,Belize,13,0,2
178,Botswana,13,0,1
179,Eswatini,12,7,0
180,StVincentGrenadines,12,1,0
181,Malawi,12,0,2
182,SaintKittsandNevis,12,0,0
183,Greenland,11,11,0
184,Chad,11,2,0
185,Seychelles,11,0,0
186,Suriname,10,4,1
187,SierraLeone,10,0,0
188,Gambia,9,2,1
189,Nepal,9,1,0
190,TurksandCaicos,9,0,1
191,Nicaragua,9,0,1
192,Montserrat,9,0,0
193,VaticanCity,8,2,0
194,CaboVerde,8,1,1
195,CAR,8,0,0
196,Mauritania,7,2,1
197,StBarth,6,1,0
198,WesternSahara,6,0,0
199,Bhutan,5,2,0
200,Burundi,5,0,0
201,SaoTomeandPrincipe,4,0,0
202,BritishVirginIslands,3,2,0
203,Anguilla,3,0,0
204,TimorLeste,2,1,0
205,PapuaNewGuinea,2,0,0
206,Kosovo,2,0,0
207,Yemen,1,0,0
