,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"435,128","22,891","14,795"
1,Spain,"148,220","48,021","14,792"
2,Italy,"139,422","26,491","17,669"
3,Germany,"113,296","46,300","2,349"
4,France,"112,950","21,254","10,869"
5,China,"81,865","77,370","3,335"
6,Iran,"64,586","29,812","3,993"
7,UK,"60,733",135,"7,097"
8,Turkey,"38,226","1,846",812
9,Belgium,"23,403","4,681","2,240"
10,Switzerland,"23,280","9,800",895
11,Netherlands,"20,549",250,"2,248"
12,Canada,"19,438","4,548",427
13,Brazil,"16,188",127,820
14,Portugal,"13,141",196,380
15,Austria,"12,942","4,512",273
16,SKorea,"10,423","6,973",204
17,Israel,"9,404",801,73
18,Russia,"8,672",580,63
19,Sweden,"8,419",205,687
20,Ireland,"6,074",25,235
21,Australia,"6,052","2,813",50
22,Norway,"6,042",32,101
23,India,"5,916",506,178
24,Chile,"5,546","1,115",48
25,Denmark,"5,402","1,621",218
26,Czechia,"5,312",233,99
27,Poland,"5,205",222,159
28,Romania,"4,761",528,220
29,Japan,"4,667",632,94
30,Ecuador,"4,450",140,242
31,Peru,"4,342","1,333",121
32,Pakistan,"4,263",467,61
33,Malaysia,"4,119","1,487",65
34,Philippines,"3,870",96,182
35,Mexico,"3,181",633,174
36,Luxembourg,"3,034",500,46
37,Indonesia,"2,956",222,240
38,SaudiArabia,"2,932",631,41
39,Serbia,"2,666",118,65
40,UAE,"2,659",239,12
41,Panama,"2,528",16,63
42,Finland,"2,487",300,40
43,Thailand,"2,369",888,30
44,Qatar,"2,210",178,6
45,DominicanRepublic,"2,111",50,108
46,Colombia,"2,054",123,55
47,Greece,"1,884",269,83
48,SouthAfrica,"1,845",95,18
49,Argentina,"1,795",358,65
50,Ukraine,"1,668",35,52
51,Singapore,"1,623",406,6
52,Iceland,"1,616",633,6
53,Algeria,"1,572",237,205
54,Egypt,"1,560",305,103
55,Croatia,"1,343",179,19
56,Morocco,"1,275",97,93
57,NewZealand,"1,239",317,1
58,Iraq,"1,202",452,69
59,Estonia,"1,185",72,24
60,Moldova,"1,174",40,27
61,Slovenia,"1,091",120,40
62,Belarus,"1,066",77,13
63,HongKong,961,264,4
64,Lithuania,912,8,15
65,Hungary,895,94,58
66,Armenia,881,114,9
67,Kuwait,855,111,1
68,Bahrain,823,477,5
69,Azerbaijan,822,63,8
70,BosniaandHerzegovina,804,79,34
71,Cameroon,730,60,10
72,Kazakhstan,727,54,7
73,,712,619,11
74,Slovakia,682,16,2
75,Tunisia,628,25,24
76,NorthMacedonia,617,35,29
77,Bulgaria,593,42,24
78,Latvia,577,16,2
79,Lebanon,576,62,19
80,Andorra,564,52,23
81,Uzbekistan,545,30,3
82,Cyprus,526,52,9
83,CostaRica,502,29,3
84,Cuba,457,27,12
85,Uruguay,456,192,7
86,Afghanistan,444,29,14
87,Oman,419,72,2
88,BurkinaFaso,414,134,23
89,Albania,400,154,22
90,IvoryCoast,384,48,3
91,Taiwan,379,67,5
92,Réunion,362,40,0
93,Jordan,358,150,6
94,Honduras,343,6,23
95,Niger,342,28,11
96,Ghana,313,34,6
97,SanMarino,308,45,34
98,Malta,299,16,1
99,Nigeria,276,44,6
100,Mauritius,273,19,7
101,Kyrgyzstan,270,33,4
102,Palestine,263,44,1
103,Vietnam,251,126,0
104,Montenegro,248,4,2
105,Senegal,244,113,2
106,Bangladesh,218,33,20
107,Georgia,211,50,3
108,Bolivia,210,2,15
109,SriLanka,189,44,7
110,FaeroeIslands,184,131,0
111,Mayotte,184,22,2
112,DRC,180,9,18
113,Kenya,179,9,6
114,Venezuela,167,65,9
115,Guinea,164,5,0
116,IsleofMan,158,82,1
117,Martinique,154,50,6
118,Guadeloupe,141,43,8
119,Brunei,135,91,1
120,Djibouti,135,25,0
121,Gibraltar,120,60,0
122,Paraguay,119,15,5
123,Cambodia,117,63,0
124,Rwanda,110,7,0
125,TrinidadandTobago,107,1,8
126,Madagascar,93,11,0
127,ElSalvador,93,9,5
128,Guatemala,87,17,3
129,FrenchGuiana,83,43,0
130,Monaco,81,4,1
131,Liechtenstein,78,55,1
132,Aruba,77,14,0
133,Togo,70,23,3
134,Jamaica,63,10,4
135,Barbados,63,8,3
136,Mali,59,16,7
137,Ethiopia,55,4,2
138,Uganda,53,0,0
139,FrenchPolynesia,51,0,0
140,Macao,45,10,0
141,CaymanIslands,45,6,1
142,Bahamas,40,5,7
