,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"245,373","10,403","6,095"
1,Italy,"115,242","18,278","13,915"
2,Spain,"112,065","26,743","10,348"
3,Germany,"84,794","22,440","1,107"
4,China,"81,620","76,571","3,322"
5,France,"59,105","12,428","5,387"
6,Iran,"50,468","16,711","3,160"
7,UK,"33,718",135,"2,921"
8,Switzerland,"18,827","4,013",536
9,Turkey,"18,135",415,356
10,Belgium,"15,348","2,495","1,011"
11,Netherlands,"14,697",250,"1,339"
12,Canada,"11,283","1,979",173
13,Austria,"11,199","1,749",158
14,SKorea,"10,062","6,021",174
15,Portugal,"9,034",68,209
16,Brazil,"8,066",127,327
17,Israel,"6,857",338,36
18,Sweden,"5,568",103,308
19,Australia,"5,350",585,28
20,Norway,"5,218",32,50
21,Russia,"4,149",281,34
22,Czechia,"3,869",71,46
23,Ireland,"3,849",5,98
24,Chile,"3,404",335,18
25,Denmark,"3,386","1,089",123
26,Ecuador,"3,163",65,120
27,Malaysia,"3,116",767,50
28,Poland,"2,946",56,57
29,Romania,"2,738",267,116
30,Philippines,"2,633",51,107
31,Japan,"2,617",472,63
32,India,"2,567",192,72
33,Luxembourg,"2,487",80,30
34,Pakistan,"2,450",126,35
35,Thailand,"1,978",581,19
36,SaudiArabia,"1,885",328,21
37,Indonesia,"1,790",112,170
38,Finland,"1,615",300,19
39,Greece,"1,544",61,53
40,Mexico,"1,510",633,50
41,Panama,"1,475",9,37
42,SouthAfrica,"1,462",95,5
43,Peru,"1,414",537,55
44,DominicanRepublic,"1,380",16,60
45,Iceland,"1,319",284,4
46,Argentina,"1,265",256,37
47,Serbia,"1,171",42,31
48,Colombia,"1,161",55,19
49,Singapore,"1,049",266,5
50,UAE,"1,024",96,8
51,Croatia,"1,011",88,7
52,Algeria,986,61,86
53,Qatar,949,72,3
54,Ukraine,942,19,23
55,Slovenia,897,70,17
56,NewZealand,868,103,1
57,Egypt,865,201,58
58,Estonia,858,45,11
59,HongKong,802,154,4
60,Iraq,772,202,54
61,Armenia,736,43,7
62,Morocco,735,34,47
63,,712,619,11
64,Lithuania,696,7,9
65,Bahrain,643,381,4
66,Hungary,623,43,26
67,BosniaandHerzegovina,543,27,16
68,Moldova,505,23,6
69,Lebanon,494,46,16
70,Latvia,493,31,0
71,Bulgaria,477,30,12
72,Tunisia,455,5,14
73,Kazakhstan,448,28,3
74,Andorra,428,10,15
75,Slovakia,426,5,1
76,Azerbaijan,400,26,5
77,CostaRica,396,6,2
78,NorthMacedonia,384,17,11
79,Uruguay,369,68,4
80,Cyprus,356,28,10
81,Taiwan,348,50,5
82,Kuwait,342,81,0
83,Réunion,308,40,0
84,Cameroon,306,10,7
85,Belarus,304,53,4
86,Jordan,299,45,5
87,BurkinaFaso,288,50,16
88,Albania,277,76,16
89,Afghanistan,273,10,6
90,SanMarino,245,21,30
91,Vietnam,233,85,0
92,Cuba,233,13,6
93,Oman,231,57,1
94,Honduras,222,3,15
95,Uzbekistan,221,25,2
96,Ghana,204,31,5
97,Malta,196,2,0
98,Senegal,195,55,1
99,IvoryCoast,194,15,1
100,Nigeria,184,20,2
101,FaeroeIslands,179,91,0
102,Mauritius,169,0,7
103,Palestine,161,18,1
104,Montenegro,160,0,2
105,SriLanka,151,22,4
106,Georgia,148,27,0
107,Venezuela,146,43,5
108,Martinique,138,27,3
109,DRC,134,3,13
110,Brunei,133,56,1
111,Bolivia,132,1,9
112,Kyrgyzstan,130,5,1
113,Guadeloupe,128,24,6
114,Mayotte,116,10,1
115,Cambodia,114,35,0
116,Kenya,110,4,3
117,Niger,98,0,5
118,TrinidadandTobago,97,1,6
119,IsleofMan,95,0,1
120,Paraguay,92,4,3
121,Gibraltar,88,46,0
122,Rwanda,84,0,0
123,Liechtenstein,75,0,0
124,Bangladesh,61,26,6
125,Monaco,60,2,1
126,Aruba,60,1,0
127,Madagascar,59,0,0
128,Guinea,52,0,0
129,FrenchGuiana,51,15,0
130,Guatemala,47,12,1
131,Jamaica,47,2,3
132,ElSalvador,46,0,2
133,Barbados,46,0,0
134,Uganda,45,0,0
135,Macao,41,10,0
136,Djibouti,40,0,0
137,Togo,39,17,2
138,PuertoRico,39,1,2
139,Zambia,39,0,1
