,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"215,175","8,878","5,110"
1,Italy,"110,574","16,847","13,155"
2,Spain,"104,118","22,647","9,387"
3,China,"81,554","76,238","3,312"
4,Germany,"77,981","18,700",931
5,France,"56,989","10,935","4,032"
6,Iran,"47,593","15,473","3,036"
7,UK,"29,474",135,"2,352"
8,Switzerland,"17,768","2,967",488
9,Turkey,"15,679",333,277
10,Belgium,"13,964","2,132",828
11,Netherlands,"13,614",250,"1,173"
12,Austria,"10,711","1,436",146
13,SKorea,"9,976","5,828",169
14,Canada,"9,731","1,736",129
15,Portugal,"8,251",43,187
16,Brazil,"6,931",127,244
17,Israel,"6,092",241,26
18,Australia,"5,105",345,23
19,Sweden,"4,947",103,239
20,Norway,"4,877",13,44
21,Czechia,"3,589",61,39
22,Ireland,"3,447",5,85
23,Denmark,"3,107",894,104
24,Chile,"3,031",234,16
25,Malaysia,"2,908",645,45
26,Russia,"2,777",190,24
27,Ecuador,"2,758",58,98
28,Poland,"2,554",56,43
29,Romania,"2,460",252,92
30,Japan,"2,384",472,57
31,Luxembourg,"2,319",80,29
32,Philippines,"2,311",50,96
33,Pakistan,"2,118",94,27
34,India,"1,998",148,58
35,Thailand,"1,771",505,12
36,SaudiArabia,"1,720",264,16
37,Indonesia,"1,677",103,157
38,Finland,"1,446",10,17
39,Greece,"1,415",52,51
40,SouthAfrica,"1,380",50,5
41,Mexico,"1,378",35,37
42,Peru,"1,323",394,47
43,Panama,"1,317",9,32
44,DominicanRepublic,"1,284",9,57
45,Iceland,"1,220",236,2
46,Argentina,"1,133",248,33
47,Colombia,"1,065",39,17
48,Serbia,"1,060",42,28
49,Singapore,"1,000",245,4
50,Croatia,963,73,6
51,Algeria,847,61,58
52,Slovenia,841,10,15
53,Qatar,835,71,2
54,UAE,814,61,8
55,NewZealand,797,92,1
56,Ukraine,794,13,20
57,Egypt,779,179,52
58,Estonia,779,33,5
59,HongKong,766,147,4
60,Iraq,728,182,52
61,,712,619,11
62,Morocco,654,29,39
63,Lithuania,581,7,8
64,Armenia,571,31,4
65,Bahrain,569,337,4
66,Hungary,525,40,20
67,Lebanon,479,43,14
68,BosniaandHerzegovina,459,19,13
69,Latvia,446,1,0
70,Moldova,423,23,5
71,Tunisia,423,5,12
72,Bulgaria,422,20,10
73,Slovakia,400,3,1
74,Andorra,390,10,14
75,Kazakhstan,380,26,3
76,CostaRica,375,4,2
77,Azerbaijan,359,26,5
78,NorthMacedonia,354,17,11
79,Uruguay,350,62,2
80,Taiwan,329,45,5
81,Cyprus,320,28,9
82,Kuwait,317,80,0
83,BurkinaFaso,282,46,16
84,Réunion,281,40,0
85,Jordan,278,36,5
86,Albania,259,67,15
87,Afghanistan,237,5,4
88,SanMarino,236,13,28
89,Cameroon,233,10,6
90,Vietnam,222,63,0
91,Cuba,212,12,6
92,Oman,210,34,1
93,Ghana,195,31,5
94,Senegal,190,45,1
95,IvoryCoast,190,9,1
96,Malta,188,2,0
97,Uzbekistan,181,12,2
98,Nigeria,174,9,2
99,FaeroeIslands,173,75,0
100,Honduras,172,3,10
101,Belarus,163,53,2
102,Mauritius,161,0,6
103,SriLanka,146,21,3
104,Venezuela,144,43,3
105,Martinique,135,27,3
106,Palestine,134,18,1
107,Brunei,131,52,1
108,Guadeloupe,125,24,6
109,Montenegro,123,0,2
110,Georgia,117,23,0
111,Bolivia,115,1,7
112,Kyrgyzstan,111,3,0
113,Cambodia,110,34,0
114,DRC,109,3,9
115,Mayotte,101,10,1
116,TrinidadandTobago,90,1,5
117,Rwanda,82,0,0
118,Gibraltar,81,34,0
119,Kenya,81,3,1
120,Paraguay,77,2,3
121,Niger,74,0,5
122,Liechtenstein,72,0,0
123,IsleofMan,68,0,1
124,Madagascar,57,0,0
125,Monaco,55,2,1
126,Aruba,55,1,0
127,Bangladesh,54,25,6
128,FrenchGuiana,51,15,0
129,Guatemala,46,12,1
130,Barbados,45,0,0
131,Jamaica,44,2,3
132,Uganda,44,0,0
133,Macao,41,10,0
134,PuertoRico,39,1,2
135,FrenchPolynesia,37,0,0
136,Togo,36,10,2
137,Zambia,36,0,0
138,Djibouti,33,0,0
139,ElSalvador,33,0,2
140,Bermuda,32,10,0
141,Guam,32,0,1
142,Mali,31,0,3
143,Guinea,30,0,0
144,Ethiopia,29,2,0
145,SaintMartin,22,2,1
146,CaymanIslands,22,0,1
147,Bahamas,21,1,1
148,Tanzania,20,1,1
149,Maldives,19,13,0
150,Guyana,19,0,4
151,Gabon,18,0,1
152,USVirginIslands,17,0,0
153,Haiti,16,1,0
154,NewCaledonia,16,1,0
155,Myanmar,16,0,1
156,EquatorialGuinea,15,1,0
157,Eritrea,15,0,0
158,Mongolia,14,2,0
159,Namibia,14,2,0
160,Benin,13,1,0
161,SaintLucia,13,1,0
162,Dominica,12,0,0
163,Curaçao,11,3,1
164,Greenland,10,2,0
165,Grenada,10,0,0
166,Laos,10,0,0
167,Suriname,10,0,0
168,Libya,10,0,0
169,Mozambique,10,0,0
170,Syria,10,0,2
171,Seychelles,10,0,0
172,GuineaBissau,9,0,0
173,Eswatini,9,0,0
174,Angola,8,1,2
175,Zimbabwe,8,0,1
176,SaintKittsandNevis,8,0,0
177,Sudan,7,2,2
178,AntiguaandBarbuda,7,0,0
179,Chad,7,0,0
180,Mauritania,6,2,1
181,StBarth,6,1,0
182,VaticanCity,6,0,0
183,CaboVerde,6,0,1
184,Liberia,6,0,0
185,TurksandCaicos,6,0,0
186,Somalia,5,1,0
187,Bhutan,5,1,0
188,Nepal,5,1,0
189,Nicaragua,5,0,1
190,Fiji,5,0,0
191,Montserrat,5,0,0
192,Gambia,4,2,1
193,Botswana,4,0,1
194,Belize,3,0,0
195,BritishVirginIslands,3,0,0
196,CAR,3,0,0
197,StVincentGrenadines,2,1,0
198,Anguilla,2,0,0
199,Burundi,2,0,0
200,SierraLeone,2,0,0
201,Kosovo,2,0,0
202,PapuaNewGuinea,1,0,0
203,TimorLeste,1,0,0
