,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"644,089","48,708","28,529"
1,Spain,"180,659","70,853","18,812"
2,Italy,"165,155","38,092","21,645"
3,France,"147,863","30,955","17,167"
4,Germany,"134,753","72,600","3,804"
5,UK,"98,476",135,"12,868"
6,China,"82,341","77,892","3,342"
7,Iran,"76,389","49,933","4,777"
8,Turkey,"69,392","5,674","1,518"
9,Belgium,"33,573","7,107","4,440"
10,Brazil,"28,912","14,026","1,760"
11,Canada,"28,379","8,979","1,010"
12,Netherlands,"28,153",250,"3,134"
13,Switzerland,"26,336","15,400","1,239"
14,Russia,"24,490","1,986",198
15,Portugal,"18,091",383,599
16,Austria,"14,350","8,098",393
17,Ireland,"12,547",77,444
18,Israel,"12,501","2,563",130
19,India,"12,380","1,508",422
20,Sweden,"11,927",381,"1,203"
21,Peru,"11,475","3,108",254
22,SKorea,"10,613","7,757",229
23,Japan,"8,626",901,178
24,Chile,"8,273","2,937",94
25,Ecuador,"7,858",780,388
26,Poland,"7,582",668,286
27,Romania,"7,216","1,217",372
28,Norway,"6,798",32,150
29,Denmark,"6,681","2,748",309
30,Australia,"6,462","3,702",63
31,Pakistan,"6,383","1,446",111
32,Czechia,"6,301",819,166
33,SaudiArabia,"5,862",931,79
34,Mexico,"5,847","2,125",449
35,Philippines,"5,453",353,349
36,UAE,"5,365","1,034",33
37,Indonesia,"5,136",446,469
38,Malaysia,"5,072","2,647",83
39,Serbia,"4,873",400,99
40,Ukraine,"3,764",143,108
41,Panama,"3,751",75,103
42,Belarus,"3,728",203,36
43,Qatar,"3,711",406,7
44,Singapore,"3,699",652,10
45,DominicanRepublic,"3,614",208,189
46,Luxembourg,"3,373",526,69
47,Finland,"3,237",300,72
48,Colombia,"3,105",452,131
49,Thailand,"2,643","1,497",43
50,Argentina,"2,571",596,112
51,SouthAfrica,"2,506",410,34
52,Egypt,"2,505",589,183
53,Greece,"2,192",269,102
54,Algeria,"2,160",708,336
55,Moldova,"2,049",171,46
56,Morocco,"2,024",229,127
57,Croatia,"1,741",473,33
58,Iceland,"1,727","1,077",8
59,Bahrain,"1,671",663,7
60,Hungary,"1,579",192,134
61,Iraq,"1,415",812,79
62,Kuwait,"1,405",206,3
63,NewZealand,"1,401",770,9
64,Estonia,"1,400",117,35
65,Uzbekistan,"1,302",107,4
66,Kazakhstan,"1,295",240,16
67,Azerbaijan,"1,253",404,13
68,Slovenia,"1,248",165,61
69,Bangladesh,"1,231",49,50
70,Armenia,"1,111",297,17
71,BosniaandHerzegovina,"1,110",253,41
72,Lithuania,"1,091",138,30
73,HongKong,"1,017",459,4
74,NorthMacedonia,974,98,45
75,Oman,910,131,4
76,Slovakia,863,151,6
77,Cameroon,848,165,17
78,Cuba,814,151,24
79,Afghanistan,784,43,25
