,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"468,887","25,928","16,697"
1,Spain,"153,222","52,165","15,447"
2,Italy,"143,626","28,470","18,279"
3,Germany,"118,235","52,407","2,607"
4,France,"117,749","23,206","12,210"
5,China,"81,907","77,455","3,336"
6,Iran,"66,220","32,309","4,110"
7,UK,"65,077",135,"7,978"
8,Turkey,"42,282","2,142",908
9,Belgium,"24,983","5,164","2,523"
10,Switzerland,"24,051","10,600",948
11,Netherlands,"21,762",250,"2,396"
12,Canada,"20,765","5,311",509
13,Brazil,"18,176",173,957
14,Portugal,"13,956",205,409
15,Austria,"13,244","5,240",295
16,SKorea,"10,450","7,117",208
17,Russia,"10,131",698,76
18,Israel,"9,968","1,011",86
19,Sweden,"9,141",205,793
20,India,"6,742",635,227
21,Ireland,"6,574",25,263
22,Norway,"6,219",32,108
23,Australia,"6,152","2,987",53
24,Chile,"5,972","1,274",57
25,Denmark,"5,635","1,736",237
26,Poland,"5,575",284,174
27,Czechia,"5,569",301,112
28,Japan,"5,530",685,99
29,Peru,"5,256","1,438",138
30,Romania,"5,202",647,248
31,Ecuador,"4,965",339,272
32,Pakistan,"4,601",727,66
33,Malaysia,"4,228","1,608",67
34,Philippines,"4,076",124,203
35,Mexico,"3,441",633,194
36,Indonesia,"3,293",252,280
37,SaudiArabia,"3,287",666,44
38,Luxembourg,"3,115",500,52
39,UAE,"2,990",268,14
40,Serbia,"2,867",118,66
41,Panama,"2,752",16,66
42,Finland,"2,605",300,42
43,Thailand,"2,473",940,33
44,Qatar,"2,376",206,6
45,DominicanRepublic,"2,349",80,118
46,Colombia,"2,223",174,69
47,Greece,"1,955",269,87
48,SouthAfrica,"1,934",95,18
49,Singapore,"1,910",460,6
50,Argentina,"1,894",365,79
51,Ukraine,"1,892",45,57
52,Egypt,"1,699",348,118
53,Algeria,"1,666",347,235
54,Iceland,"1,648",688,6
55,Belarus,"1,486",139,16
56,Croatia,"1,407",219,20
57,Morocco,"1,374",109,97
58,Moldova,"1,289",50,29
59,NewZealand,"1,283",373,2
60,Iraq,"1,232",496,69
61,Estonia,"1,207",83,24
62,Slovenia,"1,124",128,43
63,Lithuania,999,8,16
64,Hungary,980,96,66
65,HongKong,974,293,4
66,Azerbaijan,926,101,9
67,Armenia,921,138,10
68,Kuwait,910,111,1
69,Bahrain,887,519,5
70,BosniaandHerzegovina,858,101,35
71,Cameroon,803,61,12
72,Kazakhstan,802,60,9
73,,712,619,11
74,Slovakia,701,23,2
75,NorthMacedonia,663,37,30
76,Tunisia,643,25,25
77,Bulgaria,618,48,24
78,Latvia,589,16,3
79,Andorra,583,58,25
80,Lebanon,582,67,19
81,Uzbekistan,582,38,3
82,Cyprus,564,53,10
83,CostaRica,539,30,3
84,Cuba,515,28,15
85,Afghanistan,484,32,15
86,Uruguay,473,206,7
87,Oman,457,109,3
88,IvoryCoast,444,52,3
89,BurkinaFaso,443,146,24
90,Niger,410,40,11
91,Albania,409,165,23
92,Honduras,382,7,23
93,Taiwan,380,80,5
94,Ghana,378,3,6
95,Jordan,372,161,7
96,Réunion,362,40,0
97,Malta,337,16,2
98,SanMarino,333,49,34
99,Bangladesh,330,33,21
100,Mauritius,314,23,7
101,Kyrgyzstan,298,35,5
102,Nigeria,288,51,7
103,Bolivia,268,2,19
104,Palestine,263,44,1
105,Vietnam,255,128,0
106,Montenegro,252,4,2
107,Senegal,250,123,2
108,Georgia,218,51,3
109,DRC,215,13,20
110,Guinea,194,11,0
111,IsleofMan,190,92,1
112,SriLanka,190,49,7
113,FaeroeIslands,184,136,0
114,Mayotte,184,26,2
115,Kenya,184,12,7
116,Venezuela,171,84,9
117,Martinique,154,50,6
118,Guadeloupe,143,67,8
119,Djibouti,140,28,1
120,Brunei,135,92,1
121,Paraguay,129,18,6
122,Guatemala,126,17,3
123,Gibraltar,123,60,0
124,Cambodia,119,72,0
125,ElSalvador,117,15,6
126,Rwanda,113,7,0
127,TrinidadandTobago,109,1,8
128,Madagascar,93,11,0
129,Monaco,84,5,1
130,FrenchGuiana,83,43,0
131,Aruba,82,20,0
132,Liechtenstein,78,55,1
133,Mali,74,22,7
134,Togo,73,24,3
135,Barbados,66,11,3
136,Jamaica,63,13,4
137,Ethiopia,56,4,2
138,Uganda,53,0,0
139,FrenchPolynesia,51,0,0
140,Bermuda,48,25,4
141,Macao,45,10,0
142,CaymanIslands,45,6,1
143,Gabon,44,1,1
144,Bahamas,41,5,8
145,Zambia,39,24,1
146,PuertoRico,39,1,2
