,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"560,433","32,634","22,115"
1,Spain,"166,831","62,391","17,209"
2,Italy,"156,363","34,211","19,899"
3,France,"132,591","27,186","14,393"
4,Germany,"127,854","60,300","3,022"
5,UK,"84,279",135,"10,612"
6,China,"82,160","77,663","3,341"
7,Iran,"71,686","43,894","4,474"
8,Turkey,"56,956","3,446","1,198"
9,Belgium,"29,647","6,463","3,600"
10,Netherlands,"25,587",250,"2,737"
11,Switzerland,"25,415","12,700","1,106"
12,Canada,"24,383","7,172",717
13,Brazil,"22,318",173,"1,230"
14,Portugal,"16,585",277,504
15,Russia,"15,770","1,291",130
16,Austria,"13,945","6,987",350
17,Israel,"11,145","1,627",103
18,SKorea,"10,537","7,447",217
19,Sweden,"10,483",381,899
20,Ireland,"9,655",25,334
21,India,"9,240","1,096",331
22,Peru,"7,519","1,798",193
23,Ecuador,"7,466",501,333
24,Japan,"7,370",784,123
25,Chile,"7,213","2,059",80
26,Poland,"6,674",439,232
27,Norway,"6,525",32,128
28,Australia,"6,351","3,338",61
29,Romania,"6,300",852,316
30,Denmark,"6,174","2,123",273
31,Czechia,"5,991",464,138
32,Pakistan,"5,374","1,095",93
33,Malaysia,"4,683","2,108",76
34,Mexico,"4,661","1,843",296
35,Philippines,"4,648",197,297
36,SaudiArabia,"4,462",761,59
37,Indonesia,"4,241",359,373
38,UAE,"4,123",680,22
39,Serbia,"3,630",400,80
40,Panama,"3,400",29,87
41,Luxembourg,"3,281",500,66
42,Qatar,"2,979",275,7
43,Finland,"2,974",300,56
44,DominicanRepublic,"2,967",131,173
45,Ukraine,"2,777",89,83
46,Colombia,"2,776",270,109
47,Belarus,"2,578",203,26
48,Thailand,"2,551","1,218",38
49,Singapore,"2,532",560,8
50,Argentina,"2,208",468,95
51,SouthAfrica,"2,173",410,25
52,Greece,"2,114",269,98
53,Egypt,"2,065",589,159
54,Algeria,"1,914",591,293
55,Iceland,"1,701",889,8
56,Moldova,"1,662",94,31
57,Morocco,"1,661",177,118
58,Croatia,"1,600",373,23
59,Hungary,"1,410",118,99
60,Iraq,"1,352",640,76
61,NewZealand,"1,349",546,5
62,Estonia,"1,309",98,25
63,Kuwait,"1,234",142,1
64,Slovenia,"1,205",150,53
65,Bahrain,"1,136",558,6
66,Azerbaijan,"1,098",250,11
67,Lithuania,"1,062",101,24
68,Armenia,"1,013",197,13
69,BosniaandHerzegovina,"1,009",193,39
70,HongKong,"1,005",360,4
71,Kazakhstan,961,99,10
72,Uzbekistan,896,66,4
73,NorthMacedonia,828,41,34
74,Cameroon,820,98,12
75,Slovakia,742,23,2
76,,712,619,11
77,Tunisia,707,43,31
78,Bulgaria,676,71,31
79,Cuba,669,92,18
80,Latvia,651,16,5
81,Andorra,638,128,29
82,Cyprus,633,65,11
83,Lebanon,630,80,20
84,Bangladesh,621,39,34
85,Afghanistan,607,32,19
86,Oman,599,109,4
87,CostaRica,595,56,3
88,IvoryCoast,574,85,5
89,Ghana,566,4,8
90,Niger,529,75,12
91,BurkinaFaso,497,161,27
92,Uruguay,480,231,8
93,Albania,446,217,23
94,Kyrgyzstan,419,67,5
95,Honduras,397,7,25
96,Jordan,389,201,7
97,Réunion,389,40,0
98,Taiwan,388,109,6
99,Malta,378,44,3
100,SanMarino,356,53,35
101,Bolivia,330,2,27
102,Mauritius,324,42,9
103,Nigeria,323,85,10
104,Palestine,290,58,2
105,Senegal,280,171,2
106,Montenegro,272,5,3
107,Vietnam,262,144,0
108,Georgia,257,67,3
109,Guinea,250,17,0
110,DRC,234,16,20
111,IsleofMan,228,112,2
112,Djibouti,214,36,2
113,SriLanka,210,56,7
114,Kenya,197,25,8
115,Mayotte,196,59,3
116,FaeroeIslands,184,157,0
117,Venezuela,181,93,9
118,Martinique,155,50,6
119,Guatemala,155,19,5
120,Paraguay,147,22,6
121,Guadeloupe,143,67,8
122,ElSalvador,137,22,6
123,Brunei,136,106,1
124,Gibraltar,129,84,0
125,Rwanda,126,25,0
126,Cambodia,122,77,0
127,TrinidadandTobago,113,16,8
128,Madagascar,106,20,0
129,Mali,105,22,9
130,Monaco,93,6,1
131,Aruba,92,32,0
132,FrenchGuiana,86,51,0
133,Liechtenstein,79,55,1
134,Togo,76,29,3
135,Jamaica,72,16,4
136,Barbados,71,11,4
137,Ethiopia,71,10,3
138,Bermuda,57,29,4
139,Uganda,54,4,0
140,CaymanIslands,53,6,1
141,FrenchPolynesia,53,0,0
142,Liberia,50,3,5
143,Gabon,49,1,1
144,Bahamas,46,5,8
145,Macao,45,10,0
146,Guyana,45,8,6
147,Zambia,43,30,2
148,Myanmar,41,2,4
149,PuertoRico,39,1,2
150,GuineaBissau,38,0,0
151,Benin,35,5,1
152,Eritrea,34,0,0
153,Haiti,33,0,3
154,SaintMartin,32,11,2
155,Tanzania,32,5,3
156,Guam,32,0,1
157,Libya,25,9,1
158,Syria,25,5,2
159,Somalia,25,2,1
160,EquatorialGuinea,21,3,0
161,Mozambique,21,2,0
162,AntiguaandBarbuda,21,0,2
163,Maldives,20,14,0
164,Angola,19,4,2
165,Sudan,19,2,2
166,Laos,19,0,0
167,Chad,18,2,0
168,NewCaledonia,18,1,0
169,Mongolia,17,4,0
170,USVirginIslands,17,0,0
171,Dominica,16,8,0
172,Namibia,16,3,0
173,Fiji,16,0,0
174,SaintLucia,15,4,0
175,Curaçao,14,8,1
176,Eswatini,14,7,0
177,Zimbabwe,14,0,3
178,Belize,14,0,2
179,Grenada,14,0,0
180,Nepal,13,1,0
181,Malawi,13,0,2
182,Botswana,13,0,1
183,StVincentGrenadines,12,1,0
184,SaintKittsandNevis,12,0,0
185,Greenland,11,11,0
186,Montserrat,11,1,0
187,Seychelles,11,0,0
188,Suriname,10,4,1
189,SierraLeone,10,0,0
190,Nicaragua,9,4,1
191,Gambia,9,2,1
192,TurksandCaicos,9,0,1
193,VaticanCity,8,2,0
194,CaboVerde,8,1,1
195,CAR,8,0,0
196,Mauritania,7,2,1
197,StBarth,6,4,0
198,WesternSahara,6,0,0
199,Bhutan,5,2,0
200,Burundi,5,0,0
201,SaoTomeandPrincipe,4,0,0
202,BritishVirginIslands,3,2,0
203,Anguilla,3,0,0
