,Country_Name,Total_confirmed,Total_Recovered,Total_Deaths
0,USA,"336,830","17,977","9,618"
1,Spain,"131,646","38,080","12,641"
2,Italy,"128,948","21,815","15,887"
3,Germany,"100,123","28,700","1,584"
4,France,"92,839","16,183","8,078"
5,China,"81,708","77,078","3,331"
6,Iran,"58,226","19,736","3,603"
7,UK,"47,806",135,"4,934"
8,Turkey,"27,069","1,042",574
9,Switzerland,"21,100","6,415",715
10,Belgium,"19,691","3,751","1,447"
11,Netherlands,"17,851",250,"1,766"
12,Canada,"15,512","2,942",280
13,Austria,"12,051","2,998",204
14,Brazil,"11,281",127,487
15,Portugal,"11,278",75,295
16,SKorea,"10,284","6,598",186
17,Israel,"8,430",477,49
18,Sweden,"6,830",205,401
19,Australia,"5,750","2,315",37
20,Norway,"5,687",32,71
21,Russia,"5,389",355,45
22,Ireland,"4,994",25,158
23,Czechia,"4,587",96,67
24,Chile,"4,471",618,34
25,Denmark,"4,369","1,327",179
26,India,"4,288",328,117
27,Poland,"4,102",134,94
28,Romania,"3,864",374,151
29,Malaysia,"3,662","1,005",61
30,Japan,"3,654",575,85
31,Ecuador,"3,646",100,180
32,Philippines,"3,246",64,152
33,Pakistan,"3,157",211,47
34,Luxembourg,"2,804",500,36
35,SaudiArabia,"2,402",488,34
36,Peru,"2,281",989,83
37,Indonesia,"2,273",164,198
38,Thailand,"2,169",793,23
39,Mexico,"2,143",633,94
40,Panama,"1,988",13,54
41,Finland,"1,927",300,28
42,Serbia,"1,908",54,51
43,UAE,"1,799",144,10
44,DominicanRepublic,"1,745",17,82
45,Greece,"1,735",78,73
46,SouthAfrica,"1,655",95,11
47,Qatar,"1,604",123,4
48,Argentina,"1,554",280,46
49,Iceland,"1,486",428,4
50,Colombia,"1,485",88,35
51,Algeria,"1,320",90,152
52,Singapore,"1,309",320,6
53,Ukraine,"1,308",28,37
54,Croatia,"1,182",125,15
55,Egypt,"1,173",247,78
56,NewZealand,"1,106",176,1
57,Estonia,"1,097",62,15
58,Morocco,"1,021",76,70
59,Slovenia,997,79,28
60,Iraq,961,279,61
61,HongKong,891,206,4
62,Moldova,864,30,15
63,Armenia,822,57,7
64,Lithuania,811,7,13
65,Hungary,733,66,34
66,,712,619,11
67,Bahrain,700,431,4
68,BosniaandHerzegovina,654,30,23
69,Cameroon,650,17,9
70,Kazakhstan,584,42,6
71,Azerbaijan,584,32,7
72,Tunisia,574,5,22
73,Belarus,562,52,8
74,Kuwait,556,99,1
75,NorthMacedonia,555,23,18
76,Latvia,533,1,1
77,Bulgaria,531,37,20
78,Lebanon,527,54,18
79,Andorra,501,26,18
80,Slovakia,485,10,1
81,CostaRica,454,16,2
82,Cyprus,446,37,9
83,Uruguay,406,104,6
84,Taiwan,363,54,5
85,Albania,361,104,20
86,Afghanistan,349,15,7
87,Jordan,345,110,5
88,BurkinaFaso,345,90,17
89,Réunion,344,40,0
90,Uzbekistan,342,30,2
91,Cuba,320,15,8
92,Oman,298,61,2
93,Honduras,298,6,22
94,SanMarino,266,35,32
95,IvoryCoast,261,37,3
96,Vietnam,241,90,0
97,Palestine,237,25,1
98,Nigeria,232,33,5
99,Mauritius,227,7,7
100,Malta,227,5,0
101,Senegal,222,82,2
102,Ghana,214,31,5
103,Montenegro,214,1,2
104,Niger,184,13,10
105,Bolivia,183,2,11
106,FaeroeIslands,181,99,0
107,SriLanka,176,33,5
108,Georgia,174,36,2
109,Venezuela,159,52,7
110,DRC,154,3,18
111,Martinique,149,50,4
112,Mayotte,147,14,2
113,Kyrgyzstan,147,9,1
114,Kenya,142,4,4
115,Brunei,135,73,1
116,Guadeloupe,135,31,7
117,IsleofMan,127,0,1
118,Guinea,121,5,0
119,Cambodia,114,50,0
120,Paraguay,113,12,3
121,TrinidadandTobago,105,1,7
122,Rwanda,104,4,0
123,Gibraltar,103,52,0
124,Bangladesh,88,33,9
125,Liechtenstein,77,0,1
126,Monaco,73,3,1
127,Madagascar,72,2,0
128,Guatemala,70,15,3
129,FrenchGuiana,68,27,0
